Index	Disease_ID	Disease_name	Gene_symbol	Phenotypic_series_ID	Phenotypic_series_name	Tissue	Tissue_number	Clinical_manifestation	Pathogenesis
111	614840	Hypogonadotropic hypogonadism 11 with or without anosmia	TACR3	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
112	616943	"Trichothiodystrophy 6, nonphotosensitive"	GTF2E2	PS601675	Trichothiodystrophy	Testis	Testis (N=136)	Yes	NA
113	613313	"Hemochromatosis, type 2B"	HAMP	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
114	615872	"Ciliary dyskinesia, primary, 29"	CCNO	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
115	615269	Hypogonadotropic hypogonadism 19 with or without anosmia	DUSP6	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
116	601675	"Trichothiodystrophy 1, photosensitive"	ERCC2	PS601675	Trichothiodystrophy	Testis	Testis (N=136)	Yes	NA
117	615266	Hypogonadotropic hypogonadism 17 with or without anosmia	SPRY4	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
118	615267	Hypogonadotropic hypogonadism 18 with or without anosmia	IL17RD	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
119	615989	Bardet-Biedl syndrome 12	BBS12	PS209900	Bardet-Biedl syndrome	Testis	Testis (N=136)	Yes	NA
120	229070	Hypogonadotropic hypogonadism 24 without anosmia	FSHB	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
121	615987	Bardet-Biedl syndrome 10	BBS10	PS209900	Bardet-Biedl syndrome	Testis	Testis (N=136)	Yes	NA
122	151100	LEOPARD syndrome 1	PTPN11	PS151100	LEOPARD syndrome	Testis	Testis (N=136)	Yes	NA
123	244200	Hypogonadotropic hypogonadism 3 with or without anosmia	PROKR2	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
124	614279	46XY sex reversal 8	AKR1C2	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
125	614279	"{46XY sex reversal 8, modifier of}"	AKR1C4	PS400044	"46,XY sex reversal"	Testis	Testis (N=136)	Yes	NA
126	614874	"Ciliary dyskinesia, primary, 18"	DNAAF5	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
127	617092	"Ciliary dyskinesia, primary, 35"	ODAD4	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
128	617091	"Ciliary dyskinesia, primary, 34"	DNAJB13	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
129	616395	"Trichothiodystrophy 3, photosensitive"	GTF2H5	PS601675	Trichothiodystrophy	Testis	Testis (N=136)	Yes	NA
130	616390	"Trichothiodystrophy 2, photosensitive"	ERCC3	PS601675	Trichothiodystrophy	Testis	Testis (N=136)	Yes	NA
131	163950	Noonan syndrome 1	PTPN11	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
132	615278	Cardiofaciocutaneous syndrome 2	KRAS	PS115150	Cardiofaciocutaneous syndrome	Testis	Testis (N=136)	Yes	NA
133	201000	Carpenter syndrome	RAB23	PS201000	Carpenter syndrome	Testis	Testis (N=136)	Yes	NA
134	615271	Hypogonadotropic hypogonadism 21 with anosmia	FLRT3	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
135	615270	Hypogonadotropic hypogonadism 20 with or without anosmia	FGF17	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
136	616854	Even-plus syndrome	HSPA9			Testis	Testis (N=136)	Yes	NA
137	612444	"Ciliary dyskinesia, primary, 9, with or without situs inversus"	DNAI2	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
138	600118	Warburg micro syndrome 1	RAB3GAP1	PS600118	Warburg micro syndrome	Testis	Testis (N=136)	Yes	NA
139	602390	"Hemochromatosis, type 2A"	HJV	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
140	615444	"Ciliary dyskinesia, primary, 22"	ZMYND10	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
141	616559	Noonan syndrome 9	SOS2	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
142	617576	Spermatogenic failure 18	DNAH1	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
143	614222	Warburg micro syndrome 3	RAB18	PS600118	Warburg micro syndrome	Testis	Testis (N=136)	Yes	NA
144	614225	Warburg micro syndrome 2	RAB3GAP2	PS600118	Warburg micro syndrome	Testis	Testis (N=136)	Yes	NA
145	617063	Meier-Gorlin syndrome 7	CDC45	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
146	228300	Hypogonadotropic hypogonadism 23 with or without anosmia	LHB	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
147	612997	Spermatogenic failure 7	CATSPER1	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
148	611553	Noonan syndrome 5	RAF1	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
149	611554	LEOPARD syndrome 2	RAF1	PS151100	LEOPARD syndrome	Testis	Testis (N=136)	Yes	NA
150	308700	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)	ANOS1	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
151	610198	"3-methylglutaconic aciduria, type V"	DNAJC19	PS250950	3-Methylglutaconic aciduria	Testis	Testis (N=136)	Yes	NA
152	415000	"Spermatogenic failure, Y-linked, 2"	USP9Y	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
153	605231	Bardet-Biedl syndrome 6	MKKS	PS209900	Bardet-Biedl syndrome	Testis	Testis (N=136)	Yes	NA
154	613803	Meier-Gorlin syndrome 3	ORC6	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
155	613804	Meier-Gorlin syndrome 4	CDT1	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
156	613807	"Ciliary dyskinesia, primary, 14"	CCDC39	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
157	615451	"Ciliary dyskinesia, primary, 23"	ODAD2	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
158	612370	Hypogonadotropic hypogonadism 5 with or without anosmia	CHD7	PS147950	Hypogonadotropic hypogonadism with or without anosmia	Testis	Testis (N=136)	Yes	NA
159	616564	Noonan syndrome 10	LZTR1	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
160	606069	"Hemochromatosis, type 4"	SLC40A1	PS235200	Hemochromatosis	Testis	Testis (N=136)	Yes	NA
161	616835	Meier-Gorlin syndrome 6	GMNN	PS224690	Meier-Gorlin syndrome	Testis	Testis (N=136)	Yes	NA
162	610852	"Ciliary dyskinesia, primary, 6"	NME8	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
163	610733	Noonan syndrome 4	SOS1	PS163950	Noonan syndrome	Testis	Testis (N=136)	Yes	NA
164	243060	Spermatogenic failure 5	AURKC	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
165	616481	"Ciliary dyskinesia, primary, 32"	RSPH3	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
166	615067	"Ciliary dyskinesia, primary, 20"	ODAD1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
167	613957	Spermatogenic failure 8	NR5A1	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
168	615663	Warburg micro syndrome 4	TBC1D20	PS600118	Warburg micro syndrome	Testis	Testis (N=136)	Yes	NA
169	270960	Spermatogenic failure 4	SYCP3	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
170	270960	"Pregnancy loss, recurrent, 4"	SYCP3	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
171	615505	"Ciliary dyskinesia, primary, 28"	SPAG1	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
172	615504	"Ciliary dyskinesia, primary, 27"	CCDC65	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
173	613958	Spermatogenic failure 9	DPY19L2	PS258150	Spermatogenic failure	Testis	Testis (N=136)	Yes	NA
174	615500	"Ciliary dyskinesia, primary, 26"	CFAP298	PS244400	Primary ciliary dyskinesia	Testis	Testis (N=136)	Yes	NA
175	616279	?Cataract 43	UNC45B	PS116200	Cataract	Eye	Eye (N=13)	Yes	NA
176	608810	"Myopathy, myofibrillar, 2"	CRYAB	PS601419	"Myopathy, myofibrillar"	Eye	Eye (N=13)	Yes	NA
177	604393	Leber congenital amaurosis 4	AIPL1	PS204000	Leber congenital amaurosis	Eye	Eye (N=13)	Yes	NA
178	604393	"Retinitis pigmentosa, juvenile"	AIPL1	PS204000	Leber congenital amaurosis	Eye	Eye (N=13)	Yes	NA
179	604393	Cone-rod dystrophy	AIPL1	PS204000	Leber congenital amaurosis	Eye	Eye (N=13)	Yes	NA
180	616271	"3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia"	CLPB	PS250950	3-Methylglutaconic aciduria	Eye	Eye (N=13)	Yes	NA
181	615184	"Cardiomyopathy, dilated, 1II"	CRYAB	PS115200	Dilated cardiomyopathy	Eye	Eye (N=13)	Yes	NA
182	613763	"Cataract 16, multiple types"	CRYAB	PS116200	Cataract	Eye	Eye (N=13)	Yes	NA
183	605231	Bardet-Biedl syndrome 6	MKKS	PS209900	Bardet-Biedl syndrome	Eye	Eye (N=13)	Yes	NA
184	615989	Bardet-Biedl syndrome 12	BBS12	PS209900	Bardet-Biedl syndrome	Eye	Eye (N=13)	Yes	NA
185	613869	"Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related"	CRYAB	PS601419	"Myopathy, myofibrillar"	Eye	Eye (N=13)	Yes	NA
186	604219	"Cataract 9, multiple types"	CRYAA	PS116200	Cataract	Eye	Eye (N=13)	Yes	NA
187	236700	McKusick-Kaufman syndrome	MKKS			Eye	Eye (N=13)	Yes	NA
188	615987	Bardet-Biedl syndrome 10	BBS10	PS209900	Bardet-Biedl syndrome	Eye	Eye (N=13)	Yes	NA
189	610198	"3-methylglutaconic aciduria, type V"	DNAJC19	PS250950	3-Methylglutaconic aciduria	Eye	Eye (N=13)	Yes	NA
190	145410	"Opitz GBBB syndrome, type II"	SPECC1L	PS300000	Opitz GBBB syndrome	Digestive system-Esophagus-Gastroesophageal junction	Digestive system-Esophagus-Gastroesophageal junction (N=4)	Yes	NA
191	614326	Feingold syndrome 2	FGLDS2	PS164280	Feingold syndrome	Digestive system-Esophagus-Gastroesophageal junction	Digestive system-Esophagus-Gastroesophageal junction (N=4)	Yes	NA
192	164280	Feingold syndrome 1	MYCN	PS164280	Feingold syndrome	Digestive system-Esophagus-Gastroesophageal junction	Digestive system-Esophagus-Gastroesophageal junction (N=4)	Yes	NA
193	300000	"Opitz GBBB syndrome, type I"	MID1	PS300000	Opitz GBBB syndrome	Digestive system-Esophagus-Gastroesophageal junction	Digestive system-Esophagus-Gastroesophageal junction (N=4)	Yes	NA
194	212720	Martsolf syndrome	RAB3GAP2			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
195	616835	Meier-Gorlin syndrome 6	GMNN	PS224690	Meier-Gorlin syndrome	Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
196	150250	Larsen syndrome	FLNB			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
197	271665	"Spondylometaepiphyseal dysplasia, short limb-hand type"	DDR2			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
198	117650	Cerebrocostomandibular syndrome	SNRPB			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
199	618547	Neurodevelopmental disorder with visual defects and brain anomalies	HK1			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
200	618797	"Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation"	RALGAPA1			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	NA	NA
201	613177	"Cutis laxa, autosomal recessive, type IC"	LTBP4	PS123700	Cutis laxa	Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	NA
202	101600	Pfeiffer syndrome	FGFR1			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	Yes
203	101600	Craniofacial-skeletal-dermatologic dysplasia	FGFR2			Respiratory system-Trachea	Respiratory system-Trachea (N=33)	Yes	Yes
