ID,DISEASE_NAME,Gene symbol,PS accession,PS name,Tissue,Manifestation,Pathogenicity,Ref
615010,Aicardi-goutieres Syndrome 6,ADAR,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,37
615846,Aicardi-goutieres Syndrome 7,IFIH1,PS225750,Aicardi-Goutieres syndrome,Bone marrow,2,1,38
604131,Alpha-thalassemia,HBA2,,,Bone marrow,2,2,39
604131,Alpha-thalassemia,HBA1,,,Bone marrow,2,2,40
300448,Alpha-thalassemia Myelodysplasia Syndrome,ATRX,,,Bone marrow,0,0,41
141750,"Alpha-thalassemia/mental Retardation Syndrome, Deletion-type",HBHR,,,Bone marrow,0,0,42
301040,"Alpha-thalassemia/mental Retardation Syndrome, Nondeletion Type, X-linked",ATRX,,,Bone marrow,2,2,43
300194,Alport Syndrome - Intellectual Disability - Midface Hypoplasia - Elliptocytosis,AMMEC,,,Bone marrow,0,0,44
301050,"Alport Syndrome, X-linked",COL4A5,PS301050,Alport syndrome,Bone marrow,0,0,45
604498,"Amegakaryocytic Thrombocytopenia, Congenital",MPL,,,Bone marrow,2,2,46
105150,Amyloidosis Vi,CST3,,,Bone marrow,0,0,47
205700,"Anemia, Autoimmune Hemolytic",,,,Bone marrow,0,0,48
224120,"Anemia, Congenital Dyserythropoietic, Type Ia",CDAN1,PS224120,"Anemia, congenital dyserythropoietic",Bone marrow,2,2,49
615631,"Anemia, Congenital Dyserythropoietic, Type Ib",CDIN1,PS224120,"Anemia, congenital dyserythropoietic",Bone marrow,2,2,50
205950,"Anemia, Congenital Sideroblastic, B6-nonresponsive",SLC25A38,PS300751,"Anemia, Sideroblastic",Bone marrow,2,2,51
224100,"Anemia, Dyserythropoietic Congenital, Type Ii",SEC23B,PS224120,"Anemia, congenital dyserythropoietic",Bone marrow,2,2,52
105600,"Anemia, Dyserythropoietic Congenital, Type Iii",CDAN3,PS224120,"Anemia, congenital dyserythropoietic",Bone marrow,0,0,53
613673,"Anemia, Dyserythropoietic Congenital, Type Iv",KLF1,PS224120,"Anemia, congenital dyserythropoietic",Bone marrow,2,2,54
206000,"Anemia, Familial Pyridoxine-responsive",,,,Bone marrow,0,0,55
268150,"Anemia, Hemolytic, Rh-null, Regulator Type",RHAG,,,Bone marrow,2,2,56
206100,"Anemia, Hypochromic Microcytic, With Iron Overload",SLC11A2,PS206100,"Anemia, hypochromic microcytic, with iron overload",Bone marrow,2,2,57
615234,"Anemia, Hypochromic Microcytic, With Iron Overload 2",STEAP3,PS206100,"Anemia, hypochromic microcytic, with iron overload",Bone marrow,2,2,58
206300,"Anemia, Nonspherocytic Hemolytic, Associated With Abnormality Of Redcell Membrane",,,,Bone marrow,0,0,59
300908,"Anemia, Nonspherocytic Hemolytic, Due To G6pd Deficiency",G6PD,,,Bone marrow,2,2,60
206400,"Anemia, Nonspherocytic Hemolytic, Possibly Due To Defect In Porphyrinmetabolism",,,,Bone marrow,0,0,61
616860,"Anemia, Sideroblastic, 3, Pyridoxine-refractory",GLRX5,PS300751,"Anemia, Sideroblastic",Bone marrow,2,2,62
301310,"Anemia, Sideroblastic, And Spinocerebellar Ataxia",ABCB7,,,Bone marrow,2,2,63
182170,"Anemia, Sideroblastic, Autosomal Dominant",HSPA9,PS300751,"Anemia, Sideroblastic",Bone marrow,2,2,64
300751,"Anemia, Sideroblastic, X-linked",ALAS2,PS300751,"Anemia, Sideroblastic",Bone marrow,2,2,65
300835,"Anemia, X-linked, With Or Without Neutropenia And/or Platelet Abnormalities",GATA1,,,Bone marrow,2,2,66
105800,"Aneurysm, Intracranial Berry, 1",ANIB1,PS105800,"Aneurysm, intracranial berry",Bone marrow,0,0,67
608542,"Aneurysm, Intracranial Berry, 2",ANIB2,PS105800,"Aneurysm, intracranial berry",Bone marrow,0,0,68
106070,"Angioma, Hereditary Neurocutaneousspinal Arterial Venous Malformations With Cutaneous Hemangiomas, Included",,,,Bone marrow,0,0,69
611773,"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps",COL4A1,,,Bone marrow,0,0,70
107320,"Antiphospholipid Syndrome, Familial",ATPLS,,,Bone marrow,0,0,71
613118,Antithrombin Iii Deficiency,SERPINC1,PS188050,Thrombophilia,Bone marrow,2,0,72
207300,"Antithrombin, Familial Hemorrhagic Diathesis Due To",,,,Bone marrow,0,0,73
207731,Aplasia Cutis Congenita With Intestinal Lymphangiectasia,,,,Bone marrow,0,0,74
609135,Aplastic Anemia,SBDS,,,Bone marrow,2,1,75
609135,Aplastic Anemia,NBN,,,Bone marrow,2,1,76
609135,Aplastic Anemia,PRF1,,,Bone marrow,2,1,77
609135,Aplastic Anemia,IFNG,,,Bone marrow,2,1,78
208050,Arterial Tortuosity Syndrome,SLC2A10,,,Bone marrow,0,0,79
208060,"Arteriosclerosis, Severe Juvenile",,,,Bone marrow,0,0,80
618947,Arthrogryposis Multiplex Congenita 5,TOR1A,PS617468,Arthrogryposis multiplex congenita,Bone marrow,0,0,81
208085,"Arthrogryposis, Renal Dysfunction, And Cholestasis",VPS33B,PS208085,"Arthrogryposis, renal dysfunction, and cholestasis",Bone marrow,0,0,82
208400,Aspartylglucosaminuria,AGA,,,Bone marrow,2,2,83
271400,"Asplenia, Isolated Congenital",RPSA,,,Bone marrow,2,2,84
159550,Ataxia-pancytopenia Syndrome,SAMD9L,,,Bone marrow,2,2,85
208900,Ataxia-telangiectasia,ATM,,,Bone marrow,2,2,86
208910,Ataxia-telangiectasia With Generalized Skin Pigmentation And Earlydeath,,,,Bone marrow,0,0,87
209050,"Athrombia, Essential",,,,Bone marrow,0,0,88
209300,Atransferrinemia,TF,,,Bone marrow,2,0,89
608583,"Atrial Fibrillation, Familial, 1",ATFB1,PS608583,"Atrial fibrillation, familial",Bone marrow,0,0,90
607554,"Atrial Fibrillation, Familial, 3",KCNQ1,PS608583,"Atrial fibrillation, familial",Bone marrow,0,0,91
615952,"Autoimmune Disease, Multisystem, Infantile-onset, 1",STAT3,PS615952,"Autoimmune disease, multisystem, infantile-onset",Bone marrow,2,1,92
617006,"Autoimmune Disease, Multisystem, Infantile-onset, 2",ZAP70,PS615952,"Autoimmune disease, multisystem, infantile-onset",Bone marrow,2,2,93
613385,"Autoimmune Disease, Multisystem, With Facial Dysmorphism",ITCH,,,Bone marrow,1,1,94
616414,"Autoimmune Interstitial Lung, Joint, And Kidney Disease",COPA,,,Bone marrow,1,1,95
601859,Autoimmune Lymphoproliferative Syndrome,FASLG,,,Bone marrow,2,2,96
601859,Autoimmune Lymphoproliferative Syndrome,FAS,,,Bone marrow,2,2,97
603909,"Autoimmune Lymphoproliferative Syndrome, Type Iia",CASP10,,,Bone marrow,0,0,98
607271,"Autoimmune Lymphoproliferative Syndrome, Type Iib",CASP8,,,Bone marrow,2,2,99
615559,"Autoimmune Lymphoproliferative Syndrome, Type Iii",PRKCD,,,Bone marrow,2,2,100
616100,"Autoimmune Lymphoproliferative Syndrome, Type V",CTLA4,,,Bone marrow,2,2,101
269200,"Autoimmune Polyendocrine Syndrome, Type Ii",,,,Bone marrow,0,0,102
617388,Autoinflammation With Arthritis And Dyskeratosis,NLRP1,,,Bone marrow,0,0,103
618852,Autoinflammation With Episodic Fever And Lymphadenopathy,RIPK1,,,Bone marrow,2,1,104
616050,Autoinflammation With Infantile Enterocolitis,NLRC4,,,Bone marrow,0,0,105
618999,"Autoinflammation, Immune Dysregulation, And Eosinophilia",JAK1,,,Bone marrow,2,1,106
617099,"Autoinflammation, Panniculitis, And Dermatosis Syndrome",OTULIN,,,Bone marrow,0,0,107
616744,"Autoinflammatory Syndrome, Familial, Behcet-like",TNFAIP3,,,Bone marrow,1,1,108
151430,B-cell Cll/lymphoma 2,,,,Bone marrow,0,0,109
616452,B-cell Expansion With Nfkb And T-cell Anergy,CARD11,,,Bone marrow,2,2,110
109543,"B-cell Malignancy, Low-grade",CLLS2,,,Bone marrow,0,0,111
210740,Bangstad Syndrome,,,,Bone marrow,0,0,112
153480,Bannayan-riley-ruvalcaba Syndrome,,,,Bone marrow,0,0,113
209920,"Bare Lymphocyte Syndrome, Type Ii",RFX5,,,Bone marrow,2,2,114
209920,"Bare Lymphocyte Syndrome, Type Ii",RFXAP,,,Bone marrow,2,2,115
209920,"Bare Lymphocyte Syndrome, Type Ii",CIITA,,,Bone marrow,2,2,116
209920,"Bare Lymphocyte Syndrome, Type Ii",RFXANK,,,Bone marrow,2,2,117
302060,Barth Syndrome,TAFAZZIN,PS250950,3-Methylglutaconic aciduria,Bone marrow,2,2,118
241200,"Bartter Syndrome, Antenatal, Type 2",KCNJ1,PS601678,Bartter syndrome,Bone marrow,0,0,119
209970,Beemer Lethal Malformation Syndrome,,,,Bone marrow,0,0,120
109650,Behcet Syndrome,,,,Bone marrow,0,0,121
231200,Bernard-soulier Syndrome,GP9,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,122
231200,Bernard-soulier Syndrome,GP1BA,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,123
231200,Bernard-soulier Syndrome,GP1BB,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,124
153670,"Bernard-soulier Syndrome, Benign Autosomal Dominant",GP1BA,,,Bone marrow,0,0,125
613985,Beta-thalassemia,HBB,,,Bone marrow,0,0,126
613985,Beta-thalassemia,LCRB,,,Bone marrow,0,0,127
210370,Bietti Crystalline Corneoretinal Dystrophy,CYP4V2,,,Bone marrow,2,2,128
607765,"Bile Acid Synthesis Defect, Congenital, 1",HSD3B7,PS607765,"Bile acid synthesis defect, congenital",Bone marrow,2,0,129
235555,"Bile Acid Synthesis Defect, Congenital, 2",AKR1D1,PS607765,"Bile acid synthesis defect, congenital",Bone marrow,2,0,130
613812,"Bile Acid Synthesis Defect, Congenital, 3",CYP7B1,PS607765,"Bile acid synthesis defect, congenital",Bone marrow,2,0,131
214950,"Bile Acid Synthesis Defect, Congenital, 4",AMACR,PS607765,"Bile acid synthesis defect, congenital",Bone marrow,2,0,132
616278,"Bile Acid Synthesis Defect, Congenital, 5",ABCD3,PS607765,"Bile acid synthesis defect, congenital",Bone marrow,2,0,133
609821,Bleeding Disorder Due To P2ry12 Defect,P2RY12,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,134
614201,"Bleeding Disorder, Platelet-type, 11",GP6,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,135
614009,"Bleeding Disorder, Platelet-type, 13, Susceptibility To",TBXA2R,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,136
614158,"Bleeding Disorder, Platelet-type, 14",BDPLT14,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,137
615193,"Bleeding Disorder, Platelet-type, 15",ACTN1,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,138
187800,"Bleeding Disorder, Platelet-type, 16",ITGA2B,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,139
187800,"Bleeding Disorder, Platelet-type, 16",ITGB3,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,140
615888,"Bleeding Disorder, Platelet-type, 18",RASGRP2,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,141
616176,"Bleeding Disorder, Platelet-type, 19",PRKACG,PS231200,"Bleeding disorder, platelet-type",Bone marrow,0,0,142
616913,"Bleeding Disorder, Platelet-type, 20",SLFN14,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,143
617443,"Bleeding Disorder, Platelet-type, 21",FLI1,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,144
618462,"Bleeding Disorder, Platelet-type, 22",EPHB2,PS231200,"Bleeding disorder, platelet-type",Bone marrow,0,0,145
614200,"Bleeding Disorder, Platelet-type, 9",BDPLT9,PS231200,"Bleeding disorder, platelet-type",Bone marrow,2,2,146
210900,Bloom Syndrome,BLM,PS210900,"Microcephaly, growth restriction and increased sister chromatid exchange",Bone marrow,2,2,147
112200,Blue Rubber Bleb Nevus,,,,Bone marrow,0,0,148
612394,"Bone Fragility With Contractures, Arterial Rupture, And Deafness",PLOD3,,,Bone marrow,0,0,149
615715,Bone Marrow Failure Syndrome 2,ERCC6L2,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,150
617052,Bone Marrow Failure Syndrome 3,DNAJC21,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,151
618116,Bone Marrow Failure Syndrome 4,MYSM1,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,152
618165,Bone Marrow Failure Syndrome 5,TP53,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,153
618849,Bone Marrow Failure Syndrome 6,MDM4,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,154
614675,"Bone Marrow Failure, Familial",SRP72,PS614675,Bone marrow failure syndrome,Bone marrow,2,2,155
175780,Brain Small Vessel Disease 1 With Or Without Ocular Anomalies,COL4A1,PS175780,Brain small vessel disease,Bone marrow,0,0,156
618360,Brain Small Vessel Disease 3,COLGALT1,PS175780,Brain small vessel disease,Bone marrow,0,0,157
607578,Breath-holding Spells,,,,Bone marrow,0,0,158
113970,Burkitt Lymphoma,MYC,,,Bone marrow,0,0,159
131300,Camurati-engelmann Disease,TGFB1,,,Bone marrow,2,2,160
212050,"Candidiasis, Familial, 2",CARD9,PS114580,Familial candidiasis,Bone marrow,2,1,161
114620,Cantu Syndrome,,,,Bone marrow,0,0,162
114650,Car Factor Deficiency,,,,Bone marrow,0,0,163
212060,Carbimazole Sensitivity,,,,Bone marrow,0,0,164
608836,"Carnitine Palmitoyltransferase Ii Deficiency, Lethal Neonatal",CPT2,,,Bone marrow,1,1,165
250250,Cartilage-hair Hypoplasia,RMRP,,,Bone marrow,0,0,166
212350,Cataract And Cardiomyopathy,AGK,PS603041,Mitochondrial DNA depletion syndrome,Bone marrow,2,1,167
608957,"Cd8 Deficiency, Familial",CD8A,,,Bone marrow,2,2,168
212750,Celiac Disease,HLA-DQA1,PS212750,Celiac disease,Bone marrow,1,1,169
212750,Celiac Disease,HLA-DQB1,PS212750,Celiac disease,Bone marrow,1,1,170
605714,"Cerebral Amyloid Angiopathy, App-related",APP,,,Bone marrow,0,0,171
116860,Cerebral Cavernous Malformations,KRIT1,PS116860,Cerebral cavernous malformations,Bone marrow,0,0,172
603284,Cerebral Cavernous Malformations 2,CCM2,PS116860,Cerebral cavernous malformations,Bone marrow,0,0,173
603285,Cerebral Cavernous Malformations 3,PDCD10,PS116860,Cerebral cavernous malformations,Bone marrow,0,0,174
612199,Cerebroretinal Microangiopathy With Calcifications And Cysts,CTC1,PS612199,Cerebroretinal microangiopathy with calcfications and cysts,Bone marrow,0,0,175
617341,Cerebroretinal Microangiopathy With Calcifications And Cysts 2,STN1,PS612199,Cerebroretinal microangiopathy with calcfications and cysts,Bone marrow,0,0,176
204200,"Ceroid Lipofuscinosis, Neuronal, 3",CLN3,PS256730,Ceroid lipofuscinoses,Bone marrow,2,2,177
609055,"Ceroid Lipofuscinosis, Neuronal, 9",,PS256730,Ceroid lipofuscinoses,Bone marrow,0,0,178
601389,"Cervical Ribs, Sprengel Anomaly, Anal Atresia, And Urethral Obstruction",,,,Bone marrow,0,0,179
275630,Chanarin-dorfman Syndrome,ABHD5,,,Bone marrow,2,2,180
214800,Charge Syndrome,SEMA3E,,,Bone marrow,0,0,181
214800,Charge Syndrome,CHD7,,,Bone marrow,2,2,182
214500,Chediak-higashi Syndrome,LYST,,,Bone marrow,2,2,183
515000,Chloramphenicol Toxicity,,,,Bone marrow,0,0,184
617049,"Cholestasis, Progressive Familial Intrahepatic, 5",NR1H4,PS211600,"Cholestasis, progressive familial intrahepatic",Bone marrow,0,0,185
215250,"Chondroitin-6-sulfaturia, Defective Cellular Immunity, Nephrotic Syndrome",,,,Bone marrow,0,0,186
200150,Choreoacanthocytosis,VPS13A,,,Bone marrow,2,1,187
616604,"Chromosome 14q32 Duplication Syndrome, 700-kb",DUP14q32,,,Bone marrow,0,0,188
614294,Chromosome 15q25 Deletion Syndrome,DEL15q25,,,Bone marrow,0,0,189
153550,Chromosome 5q Deletion Syndrome,RPS14,,,Bone marrow,0,0,190
618935,"Chronic Granulomatous Disease 5, Autosomal Recessive",CYBC1,PS306400,"Granulomatous disease, chronic",Bone marrow,0,0,191
306400,"Chronic Granulomatous Disease, X-linked",CYBB,PS306400,"Granulomatous disease, chronic",Bone marrow,2,2,192
607115,Cinca Syndrome,NLRP3,,,Bone marrow,1,1,193
215550,Circumvallate Placenta Syndrome,,,,Bone marrow,0,0,194
216340,"Cleidocranial Dysplasia With Micrognathia, Absent Thumbs, And Distal",FIG4,,,Bone marrow,2,2,195
607426,"Coenzyme Q10 Deficiency, Primary, 1",COQ2,PS607426,"Coenzyme Q10 deficiency, primary",Bone marrow,2,1,196
216550,Cohen Syndrome,VPS13B,,,Bone marrow,2,2,197
612379,"Coloboma, Ocular, And Ichthyosis, Brain Malformations, And Endocrine",SRD5A3,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,2,1,198
120440,Colonic Varices Without Portal Hypertension,,,,Bone marrow,0,0,199
233650,Combined Cellular And Humoral Immune Defects With Granulomas,RAG1,,,Bone marrow,2,2,200
233650,Combined Cellular And Humoral Immune Defects With Granulomas,RAG2,,,Bone marrow,2,2,201
617780,Combined Immunodeficiency And Megaloblastic Anemia With Or Without Hyperhomocysteinemia,MTHFD1,,,Bone marrow,2,2,202
312863,"Combined Immunodeficiency, X-linked",IL2RG,PS300755,Immunodeficiency (Select Examples),Bone marrow,2,2,203
619115,Combined Osteogenesis Imperfecta And Ehlers-danlos Syndrome 1,COL1A1,PS619115,Combined osteogenesis imperfecta and Ehlers-Danlos syndrome,Bone marrow,0,0,204
619120,Combined Osteogenesis Imperfecta And Ehlers-danlos Syndrome 2,COL1A2,PS619115,Combined osteogenesis imperfecta and Ehlers-Danlos syndrome,Bone marrow,0,0,205
614946,Combined Oxidative Phosphorylation Deficiency 14,FARS2,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,2,1,206
615578,Combined Oxidative Phosphorylation Deficiency 18,SFXN4,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,0,0,207
617872,Combined Oxidative Phosphorylation Deficiency 34,MRPS7,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,2,1,208
618835,Combined Oxidative Phosphorylation Deficiency 40,QRSL1,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,2,1,209
618838,Combined Oxidative Phosphorylation Deficiency 41,GATB,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,0,0,210
618839,Combined Oxidative Phosphorylation Deficiency 42,GATC,PS609060,Combined oxidative phosphorylation deficiency,Bone marrow,2,1,211
217000,Complement Component 2 Deficiency,C2,,,Bone marrow,0,0,212
614380,Complement Component 4a Deficiency,C4A,,,Bone marrow,0,0,213
226300,"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy",CD55,,,Bone marrow,2,2,214
226300,"Complement Hyperactivation, Angiopathic Thrombosis, And Protein-losing Enteropathy",CD55,,,Bone marrow,0,0,215
618005,Congenital Disorder Of Glycosylation With Defective Fucosylation 1,FUT8,PS618005,Congenital disorder of glycosylation with defective fucosylation,Bone marrow,1,1,216
212065,"Congenital Disorder Of Glycosylation, Type Ia",PMM2,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,2,1,217
602579,"Congenital Disorder Of Glycosylation, Type Ib",MPI,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,218
603147,"Congenital Disorder Of Glycosylation, Type Ic",ALG6,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,219
608799,"Congenital Disorder Of Glycosylation, Type Ie",DPM1,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,220
609180,"Congenital Disorder Of Glycosylation, Type If",MPDU1,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,221
607143,"Congenital Disorder Of Glycosylation, Type Ig",ALG12,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,222
608104,"Congenital Disorder Of Glycosylation, Type Ih",ALG8,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,2,1,223
607906,"Congenital Disorder Of Glycosylation, Type Ii",ALG2,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,224
212066,"Congenital Disorder Of Glycosylation, Type Iia",MGAT2,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,1,1,225
266265,"Congenital Disorder Of Glycosylation, Type Iic",SLC35C1,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,2,2,226
607091,"Congenital Disorder Of Glycosylation, Type Iid",B4GALT1,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,1,1,227
603585,"Congenital Disorder Of Glycosylation, Type Iif",SLC35A1,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,2,2,228
611209,"Congenital Disorder Of Glycosylation, Type Iig",COG1,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,1,1,229
614727,"Congenital Disorder Of Glycosylation, Type Iik",TMEM165,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,2,1,230
614576,"Congenital Disorder Of Glycosylation, Type Iil",COG6,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,2,2,231
301045,"Congenital Disorder Of Glycosylation, Type Iir",ATP6AP2,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,2,1,232
618885,"Congenital Disorder Of Glycosylation, Type Iit",GALNT2,PS212066,"Congenital disorders of glycosylation, type II",Bone marrow,0,0,233
608093,"Congenital Disorder Of Glycosylation, Type Ij",DPAGT1,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,234
612015,"Congenital Disorder Of Glycosylation, Type In",RFT1,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,235
614921,"Congenital Disorder Of Glycosylation, Type It",PGM1,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,236
615597,"Congenital Disorder Of Glycosylation, Type Ix",STT3B,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,2,1,237
300934,"Congenital Disorder Of Glycosylation, Type Iy",SSR4,PS212065,"Congenital disorders of glycosylation, type I",Bone marrow,1,1,238
616457,"Congenital Disorder Of Glycosylation, Type Iz",CAD,PS308350,Developmental and epileptic encephalopathy,Bone marrow,2,2,239
613679,Congenital Prothrombin Deficiency,F2,,,Bone marrow,0,0,240
121270,"Copper Deficiency, Familial Benign",,,,Bone marrow,0,0,241
122470,Cornelia De Lange Syndrome 1,NIPBL,PS122470,Cornelia de Lange syndrome,Bone marrow,0,0,242
122700,Coumarin Resistance,CYP2C9,,,Bone marrow,0,0,243
122700,Coumarin Resistance,VKORC1,,,Bone marrow,0,0,244
122700,Coumarin Resistance,CYP2A6,,,Bone marrow,0,0,245
158350,Cowden Disease,PTEN,PS158350,Cowden disease,Bone marrow,2,2,246
614378,Cranioectodermal Dysplasia 4,WDR19,PS218330,Cranioectodermal dysplasia,Bone marrow,0,0,247
123550,"Cryoglobulinemia, Familial Mixed",,,,Bone marrow,0,0,248
185020,Cryohydrocytosis,SLC4A1,,,Bone marrow,2,2,249
248910,"Cutaneous Mastocytosis, Conductive Hearing Loss, And Microtia",,,,Bone marrow,0,0,250
304150,"Cutis Laxa, X-linked",ATP7A,,,Bone marrow,0,0,251
613977,"Cyanosis, Transient Neonatal",HBG2,,,Bone marrow,0,0,252
162800,Cyclic Hematopoiesis,ELANE,,,Bone marrow,2,2,253
219721,"Cystic Fibrosis With Helicobacter Pylori Gastritis, Megaloblasticanemia, And Mental Retardation",,,,Bone marrow,0,0,254
124900,"Deafness, Autosomal Dominant Nonsyndromic Sensorineural 1",DIAPH1,PS124900,"Deafness, autosomal dominant",Bone marrow,0,0,255
619004,Deeah Syndrome,MADD,,,Bone marrow,2,1,256
