GO_name,GO_term,GO_definition
positive regulation of ATP biosynthetic process,GO:2001171,"Any process that activates or increases the frequency, rate or extent of ATP biosynthetic process."
ATP synthesis coupled electron transport,GO:0042773,"The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP."
ATP synthesis coupled proton transport,GO:0015986,The transport of protons across a membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.
ion transport,GO:0006811,"The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
ATP biosynthetic process,GO:0006754,"The chemical reactions and pathways resulting in the formation of ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
cristae formation,GO:0042407,"The assembly of cristae, the inwards folds of the inner mitochondrial membrane."
mitochondrial ATP synthesis coupled proton transport,GO:0042776,The transport of protons across a mitochondrial membrane to generate an electrochemical gradient (proton-motive force) that powers ATP synthesis.
response to hyperoxia,GO:0055093,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating increased oxygen tension."
aerobic electron transport chain,GO:0019646,A process in which a series of electron carriers operate together to transfer electrons from donors such as NADH and FADH2 to oxygen to generate a transmembrane electrochemical gradient.
transmembrane transport,GO:0055085,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
respiratory chain complex IV assembly,GO:0008535,"The aggregation, arrangement and bonding together of a set of components to form respiratory chain complex IV (also known as cytochrome c oxidase), the terminal member of the respiratory chain of the mitochondrion and some aerobic bacteria. Cytochrome c oxidases are multi-subunit enzymes containing from 13 subunits in the mammalian mitochondrial form to 3-4 subunits in the bacterial forms."
response to light intensity,GO:0009642,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus."
response to hormone,GO:0009725,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."
cellular response to glucocorticoid stimulus,GO:0071385,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucocorticoid stimulus. Glucocorticoids are hormonal C21 corticosteroids synthesized from cholesterol with the ability to bind with the cortisol receptor and trigger similar effects. Glucocorticoids act primarily on carbohydrate and protein metabolism, and have anti-inflammatory effects."
response to hypoxia,GO:0001666,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."
in utero embryonic development,GO:0001701,"The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."
response to nicotine,GO:0035094,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nicotine stimulus."
response to ethanol,GO:0045471,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus."
response to organonitrogen compound,GO:0010243,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organonitrogen stimulus. An organonitrogen compound is formally a compound containing at least one carbon-nitrogen bond."
response to hydrogen peroxide,GO:0042542,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hydrogen peroxide (H2O2) stimulus."
response to cocaine,GO:0042220,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cocaine stimulus. Cocaine is a crystalline alkaloid obtained from the leaves of the coca plant."
"mitochondrial electron transport, ubiquinol to cytochrome c",GO:0006122,"The transfer of electrons from ubiquinol to cytochrome c that occurs during oxidative phosphorylation, mediated by the multisubunit enzyme known as complex III."
response to nutrient,GO:0007584,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nutrient stimulus."
response to heat,GO:0009408,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."
response to toxic substance,GO:0009636,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxic stimulus."
animal organ regeneration,GO:0031100,The regrowth of a lost or destroyed animal organ.
response to cobalamin,GO:0033590,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cobalamin (vitamin B12) stimulus."
response to glucagon,GO:0033762,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucagon stimulus."
hyperosmotic salinity response,GO:0042538,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, an increase in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
response to cadmium ion,GO:0046686,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus."
response to mercury ion,GO:0046689,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a mercury ion stimulus."
response to calcium ion,GO:0051592,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a calcium ion stimulus."
DNA repair,GO:0006281,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
cellular response to DNA damage stimulus,GO:0006974,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
response to ionizing radiation,GO:0010212,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ionizing radiation stimulus. Ionizing radiation is radiation with sufficient energy to remove electrons from atoms and may arise from spontaneous decay of unstable isotopes, resulting in alpha and beta particles and gamma rays. Ionizing radiation also includes X-rays."
snRNA transcription by RNA polymerase II,GO:0042795,"The synthesis of small nuclear RNA (snRNA) from a DNA template by RNA Polymerase II (Pol II), originating at a Pol II promoter."
mitotic G2/M transition checkpoint,GO:0044818,A cell cycle checkpoint that detects and negatively regulates progression from G2 to M phase as part of a mitotic cell cycle.
snRNA processing,GO:0016180,Any process involved in the conversion of a primary small nuclear RNA (snRNA) transcript into a mature snRNA molecule.
regulation of immune response,GO:0050776,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
signal transduction,GO:0007165,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
negative regulation of natural killer cell mediated cytotoxicity,GO:0045953,"Any process that stops, prevents, or reduces the rate of natural killer mediated cytotoxicity."
cellular defense response,GO:0006968,A defense response that is mediated by cells.
positive regulation of natural killer cell cytokine production,GO:0002729,"Any process that activates or increases the frequency, rate, or extent of natural killer cell cytokine production."
positive regulation of cellular senescence,GO:2000774,"Any process that activates or increases the frequency, rate or extent of cellular senescence."
immune response,GO:0006955,Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat.
cellular protein modification process,GO:0006464,"The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications) occurring at the level of an individual cell. Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."
protein methylation,GO:0006479,The addition of a methyl group to a protein amino acid. A methyl group is derived from methane by the removal of a hydrogen atom.
neutrophil degranulation,GO:0043312,"The regulated exocytosis of secretory granules containing preformed mediators such as proteases, lipases, and inflammatory mediators by a neutrophil."
positive regulation of neutrophil apoptotic process,GO:0033031,"Any process that activates or increases the frequency, rate, or extent of neutrophil apoptotic process."
cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097011,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a granulocyte macrophage colony-stimulating factor stimulus."
cellular response to interferon-alpha,GO:0035457,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon."
cellular response to tumor necrosis factor,GO:0071356,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."
neutrophil mediated immunity,GO:0002446,Any process involved in the carrying out of an immune response by a neutrophil.
Fc receptor signaling pathway,GO:0038093,"A series of molecular signals initiated by the binding of the Fc portion of an immunoglobulin to an Fc receptor on the surface of a signal-receiving cell, and ending with regulation of a downstream cellular process, e.g. transcription. The Fc portion of an immunoglobulin is its C-terminal constant region."
neutrophil activation,GO:0042119,"The change in morphology and behavior of a neutrophil resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."
cellular response to lipopolysaccharide,GO:0071222,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipopolysaccharide stimulus; lipopolysaccharide is a major component of the cell wall of gram-negative bacteria."
cellular response to interferon-gamma,GO:0071346,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-gamma stimulus. Interferon gamma is the only member of the type II interferon found so far."
cellular response to interleukin-6,GO:0071354,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-6 stimulus."
positive regulation of oxidative stress-induced cell death,GO:1903209,"Any process that activates or increases the frequency, rate or extent of oxidative stress-induced cell death."
G protein-coupled receptor signaling pathway,GO:0007186,"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane."
opioid receptor signaling pathway,GO:0038003,The series of molecular signals generated as a consequence of an opioid receptor binding to one of its physiological ligands.
neuropeptide signaling pathway,GO:0007218,The series of molecular signals generated as a consequence of a peptide neurotransmitter binding to a cell surface receptor.
"regulation of transcription, DNA-templated",GO:0006355,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
multicellular organism development,GO:0007275,The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult).
cell differentiation,GO:0030154,"The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."
nervous system development,GO:0007399,"The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."
regulation of transcription by RNA polymerase II,GO:0006357,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
negative regulation of transcription by RNA polymerase II,GO:0000122,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."
ATP-dependent chromatin remodeling,GO:0043044,"Dynamic structural changes to eukaryotic chromatin that require energy from the hydrolysis of ATP, ranging from local changes necessary for transcriptional regulation to global changes necessary for chromosome segregation, mediated by ATP-dependent chromatin-remodelling factors."
apoptotic process,GO:0006915,"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."
keratinization,GO:0031424,"The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns."
cornification,GO:0070268,"A type of programmed cell death that occurs in the epidermis, morphologically and biochemically distinct from apoptosis. It leads to the formation of corneocytes, i.e. dead keratinocytes containing an amalgam of specific proteins (e.g., keratin, loricrin, SPR and involucrin) and lipids (e.g., fatty acids and ceramides), which are necessary for the function of the cornified skin layer (mechanical resistance, elasticity, water repellence and structural stability)."
intermediate filament organization,GO:0045109,"Control of the spatial distribution of intermediate filaments; includes organizing filaments into meshworks, bundles, or other structures, as by cross-linking."
natural killer cell mediated cytotoxicity,GO:0042267,The directed killing of a target cell by a natural killer cell through the release of granules containing cytotoxic mediators or through the engagement of death receptors.
long-chain fatty acid metabolic process,GO:0001676,"The chemical reactions and pathways involving long-chain fatty acids, A long-chain fatty acid is a fatty acid with a chain length between C13 and C22."
lipid metabolic process,GO:0006629,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
fatty acid metabolic process,GO:0006631,"The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
fatty acid transport,GO:0015908,"The directed movement of fatty acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Fatty acids are aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
long-chain fatty acid transport,GO:0015909,"The directed movement of long-chain fatty acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A long-chain fatty acid is a fatty acid with a chain length between C13 and C22."
microtubule-based movement,GO:0007018,"A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components.  Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules."
innate immune response,GO:0045087,Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.
negative regulation of neuron death,GO:1901215,"Any process that stops, prevents or reduces the frequency, rate or extent of neuron death."
natural killer cell inhibitory signaling pathway,GO:0002769,A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of a natural killer cell capable of inhibiting an immune effector process contributing to an immune response.
biological_process,GO:0008150,"A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
visual perception,GO:0007601,"The series of events required for an organism to receive a visual stimulus, convert it to a molecular signal, and recognize and characterize the signal. Visual stimuli are detected in the form of photons and are processed to form an image."
morphogenesis of an epithelium,GO:0002009,"The process in which the anatomical structures of epithelia are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube."
cornea development in camera-type eye,GO:0061303,"The progression of the cornea over time, from its formation to the mature structure. The cornea is the transparent structure that covers the anterior of the eye."
natural killer cell activation,GO:0030101,"The change in morphology and behavior of a natural killer cell in response to a cytokine, chemokine, cellular ligand, or soluble factor."
glycosaminoglycan biosynthetic process,GO:0006024,"The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars."
cellular amino acid biosynthetic process,GO:0008652,"The chemical reactions and pathways resulting in the formation of amino acids, organic acids containing one or more amino substituents."
methionine biosynthetic process,GO:0009086,"The chemical reactions and pathways resulting in the formation of methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins."
regulation of apoptotic process,GO:0042981,Any process that modulates the occurrence or rate of cell death by apoptotic process.
positive regulation of smoothened signaling pathway,GO:0045880,"Any process that activates or increases the frequency, rate or extent of smoothened signaling."
negative regulation of hippo signaling,GO:0035331,"Any process that stops, prevents, or reduces the frequency, rate or extent of hippo signaling."
maintenance of cell polarity,GO:0030011,The maintenance of established anisotropic intracellular organization or cell growth patterns.
intracellular signal transduction,GO:0035556,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
negative regulation of cell population proliferation,GO:0008285,"Any process that stops, prevents or reduces the rate or extent of cell proliferation."
positive regulation of synapse assembly,GO:0051965,"Any process that activates, maintains or increases the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse."
negative regulation of cell migration,GO:0030336,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell migration."
cell-cell adhesion,GO:0098609,The attachment of one cell to another cell via adhesion molecules.
negative regulation of T cell proliferation,GO:0042130,"Any process that stops, prevents or reduces the rate or extent of T cell proliferation."
positive regulation of dendritic spine development,GO:0060999,"Any process that increases the rate, frequency, or extent of dendritic spine development, the process whose specific outcome is the progression of the dendritic spine over time, from its formation to the mature structure."
epithelial to mesenchymal transition,GO:0001837,"A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell."
positive regulation of hippo signaling,GO:0035332,"Any process that activates or increases the frequency, rate or extent of hippo signaling."
protein folding,GO:0006457,The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.
protein peptidyl-prolyl isomerization,GO:0000413,The modification of a protein by cis-trans isomerization of a proline residue.
spermatid development,GO:0007286,"The process whose specific outcome is the progression of a spermatid over time, from its formation to the mature structure."
regulation of translation,GO:0006417,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of proteins by the translation of mRNA or circRNA."
nucleic acid phosphodiester bond hydrolysis,GO:0090305,The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis.
"RNA phosphodiester bond hydrolysis, endonucleolytic",GO:0090502,"The chemical reactions and pathways involving the hydrolysis of internal 3',5'-phosphodiester bonds in one or two strands of ribonucleotides."
gene silencing by RNA,GO:0031047,Any process in which RNA molecules inactivate expression of target genes.
meiotic cell cycle,GO:0051321,"Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions."
spermatogenesis,GO:0007283,The developmental process by which male germ line stem cells self renew or give rise to successive cell types resulting in the development of a spermatozoa.
negative regulation of transposition,GO:0010529,"Any process that decreases the frequency, rate or extent of transposition. Transposition results in the movement of discrete segments of DNA between nonhomologous sites."
piRNA metabolic process,GO:0034587,"The chemical reactions and pathways involving piRNAs, Piwi-associated RNAs, a class of 24- to 30-nucleotide RNA derived from repeat or complex DNA sequence elements and processed by a Dicer-independent mechanism."
"spermatogenesis, exchange of chromosomal proteins",GO:0035093,"The replacement of somatic histones within sperm chromatin with sperm-specific histones or protamines with unique DNA-binding properties, resulting in condensation of the sperm chromatin."
sensory perception of smell,GO:0007608,"The series of events required for an organism to receive an olfactory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Olfaction involves the detection of chemical composition of an organism's ambient medium by chemoreceptors. This is a neurological process."
response to stimulus,GO:0050896,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
detection of chemical stimulus involved in sensory perception of smell,GO:0050911,The series of events involved in the perception of smell in which an olfactory chemical stimulus is received and converted into a molecular signal.
thyroid hormone generation,GO:0006590,"The formation of either of the compounds secreted by the thyroid gland, mainly thyroxine and triiodothyronine. This is achieved by the iodination and joining of tyrosine molecules to form the precursor thyroglobin, proteolysis of this precursor gives rise to the thyroid hormones."
cellular oxidant detoxification,GO:0098869,Any process carried out at the cellular level that reduces or removes the toxicity superoxide radicals or hydrogen peroxide.
hormone biosynthetic process,GO:0042446,"The chemical reactions and pathways resulting in the formation of any hormone, naturally occurring substances secreted by specialized cells that affects the metabolism or behavior of other cells possessing functional receptors for the hormone."
hydrogen peroxide catabolic process,GO:0042744,The chemical reactions and pathways resulting in the breakdown of hydrogen peroxide (H2O2).
proline catabolic process,GO:0006562,"The chemical reactions and pathways resulting in the breakdown of proline (pyrrolidine-2-carboxylic acid), a chiral, cyclic, nonessential alpha-amino acid found in peptide linkage in proteins."
potassium ion transport,GO:0006813,"The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
potassium ion transmembrane transport,GO:0071805,A process in which a potassium ion is transported from one side of a membrane to the other.
regulation of ion transmembrane transport,GO:0034765,"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."
cellular metabolic process,GO:0044237,The chemical reactions and pathways by which individual cells transform chemical substances.
metabolic process,GO:0008152,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
tetrahydrofolate interconversion,GO:0035999,"The chemical reactions and pathways by which one-carbon (C1) units are transferred between tetrahydrofolate molecules, to synthesise other tetrahydrofolate molecules."
histidine metabolic process,GO:0006547,"The chemical reactions and pathways involving histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid."
histidine catabolic process to glutamate and formamide,GO:0019556,"The chemical reactions and pathways resulting in the breakdown of histidine into other compounds, including glutamate and formamide."
histidine catabolic process to glutamate and formate,GO:0019557,"The chemical reactions and pathways resulting in the breakdown of histidine into other compounds, including glutamate and formate."
negative regulation of endopeptidase activity,GO:0010951,"Any process that decreases the frequency, rate or extent of endopeptidase activity, the endohydrolysis of peptide bonds within proteins."
negative regulation of peptidase activity,GO:0010466,"Any process that stops or reduces the rate of peptidase activity, the hydrolysis of peptide bonds within proteins."
positive regulation of cell population proliferation,GO:0008284,Any process that activates or increases the rate or extent of cell proliferation.
negative regulation of cell differentiation,GO:0045596,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell differentiation."
triterpenoid biosynthetic process,GO:0016104,"The chemical reactions and pathways resulting in the formation of triterpenoid compounds, terpenoids with six isoprene units."
regulation of inflammatory response,GO:0050727,"Any process that modulates the frequency, rate or extent of the inflammatory response, the immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents."
ossification,GO:0001503,"The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."
"negative regulation of transcription, DNA-templated",GO:0045892,"Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."
macrophage activation involved in immune response,GO:0002281,"A change in morphology and behavior of a macrophage resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
positive regulation of transcription by RNA polymerase II,GO:0045944,"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
