electron transport chain,GO:0022900
regulation of macrophage activation,GO:0043030
negative regulation of DNA damage response_ signal transduction by p53 class mediator,GO:0043518
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:1902166
negative regulation of macrophage chemotaxis,GO:0010760
positive regulation of B cell proliferation,GO:0030890
negative regulation of cell aging,GO:0090344
positive regulation of protein kinase A signaling,GO:0010739
carboxylic acid metabolic process,GO:0019752
negative regulation of cell cycle arrest,GO:0071157
protein N-linked glycosylation via asparagine,GO:0018279
ubiquitin-dependent ERAD pathway,GO:0030433
endoplasmic reticulum unfolded protein response,GO:0030968
negative regulation of retrograde protein transport_ ER to cytosol,GO:1904153
receptor internalization,GO:0031623
negative regulation of interferon-gamma production,GO:0032689
negative regulation of cell cycle,GO:0045786
positive regulation of defense response to virus by host,GO:0002230
negative regulation of interferon-beta production,GO:0032688
dendritic cell differentiation,GO:0097028
negative regulation of transforming growth factor beta production,GO:0071635
negative regulation of osteoclast development,GO:2001205
negative regulation of serotonin secretion,GO:0014063
negative regulation of endocytosis,GO:0045806
negative regulation of dendritic cell apoptotic process,GO:2000669
T cell proliferation involved in immune response,GO:0002309
negative regulation of cytokine production involved in immune response,GO:0002719
negative regulation of CD8-positive_ alpha-beta T cell activation,GO:2001186
negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,GO:2001189
double-strand break repair via nonhomologous end joining,GO:0006303
mitochondrial proton-transporting ATP synthase complex assembly,GO:0033615
mitochondrial protein processing,GO:0034982
carbohydrate transport,GO:0008643
hexose transmembrane transport,GO:0008645
glucose transmembrane transport,GO:1904659
cell fate specification,GO:0001708
positive regulation of acrosome reaction,GO:2000344
binding of sperm to zona pellucida,GO:0007339
retina homeostasis,GO:0001895
positive regulation of receptor-mediated endocytosis,GO:0048260
positive regulation of protein binding,GO:0032092
regulation of defense response to virus by virus,GO:0050690
modulation by symbiont of host defense response,GO:0052031
modulation of age-related behavioral decline,GO:0090647
negative regulation of neurogenesis,GO:0050768
regulation of iron ion transport,GO:0034756
iron ion homeostasis,GO:0055072
cellular response to iron ion,GO:0071281
positive regulation of T cell cytokine production,GO:0002726
antigen processing and presentation of endogenous peptide antigen via MHC class I,GO:0019885
negative regulation of epithelial cell proliferation,GO:0050680
protein homotetramerization,GO:0051289
cellular response to nicotine,GO:0071316
negative regulation of receptor binding,GO:1900121
positive regulation of receptor binding,GO:1900122
negative regulation of forebrain neuron differentiation,GO:2000978
cholesterol homeostasis,GO:0042632
retinoid metabolic process,GO:0001523
cholesterol efflux,GO:0033344
high-density lipoprotein particle remodeling,GO:0034375
high-density lipoprotein particle assembly,GO:0034380
high-density lipoprotein particle clearance,GO:0034384
reverse cholesterol transport,GO:0043691
receptor-mediated endocytosis,GO:0006898
neuron remodeling,GO:0016322
cholesterol catabolic process,GO:0006707
positive regulation of axon regeneration,GO:0048680
complement activation,GO:0006956
regulation of complement activation,GO:0030449
complement activation_ classical pathway,GO:0006958
positive regulation of apoptotic cell clearance,GO:2000427
opsonization,GO:0008228
detection of molecule of bacterial origin,GO:0032490
negative regulation of cardiac muscle cell apoptotic process,GO:0010667
negative regulation of phosphoprotein phosphatase activity,GO:0032515
positive regulation of telomere maintenance,GO:0032206
protein import into nucleus,GO:0006606
proteolysis involved in cellular protein catabolic process,GO:0051603
tryptophan catabolic process to kynurenine,GO:0019441
tryptophan catabolic process,GO:0006569
plasma membrane organization,GO:0007009
lipid homeostasis,GO:0055088
phospholipid homeostasis,GO:0055091
membrane assembly,GO:0071709
regulation of membrane lipid distribution,GO:0097035
early endosome to late endosome transport,GO:0045022
regulation of phosphatidylinositol 3-kinase activity,GO:0043551
negative regulation of phosphatase activity,GO:0010923
aggrephagy,GO:0035973
regulation of gene expression by genetic imprinting,GO:0006349
DNA methylation involved in embryo development,GO:0043045
endothelial cell migration,GO:0043542
positive regulation of NIK/NF-kappaB signaling,GO:1901224
positive regulation of establishment of protein localization,GO:1904951
positive regulation of Rho protein signal transduction,GO:0035025
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,GO:0051482
regulation of ARF protein signal transduction,GO:0032012
neuron development,GO:0048666
positive regulation of protein ubiquitination,GO:0031398
cellular response to UV,GO:0034644
cellular response to hydroxyurea,GO:0072711
cellular response to radiation,GO:0071478
L-amino acid transport,GO:0015807
amino acid transport,GO:0006865
L-alpha-amino acid transmembrane transport,GO:1902475
neutral amino acid transport,GO:0015804
positive regulation of Ras protein signal transduction,GO:0046579
response to unfolded protein,GO:0006986
lysosomal transport,GO:0007041
negative regulation of transforming growth factor beta receptor signaling pathway,GO:0030512
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902236
