 b cell,marginal zone b cell differentiation,positive regulation of b cell proliferation,negative regulation of b cell receptor signaling pathway,regulation of b cell activation,regulation of b cell differentiation,negative regulation of b cell proliferation,b-1 b cell lineage commitment,mature b cell differentiation involved in immune response,follicular b cell differentiation,regulation of b cell antigen processing and presentation,negative regulation of b cell activation,positive regulation of b cell chemotaxis,positive regulation of b cell activation,positive regulation of b cell apoptotic process,immature b cell differentiation,regulation of b cell receptor signaling pathway,regulation of b cell apoptotic process,positive regulation of b cell receptor signaling pathway,positive regulation of b cell differentiation,germinal center b cell differentiation,negative regulation of b cell apoptotic process,b-1 b cell homeostasis,b-1 b cell differentiation,regulation of b cell proliferation,positive regulation of central b cell tolerance induction,mature b cell differentiation,negative regulation of b cell differentiation,negative regulation of mature b cell apoptotic process,b-1a b cell differentiation,positive regulation of b cell tolerance induction,peripheral b cell tolerance induction,primary adaptive immune response involving t cells and b cells,transitional one stage b cell differentiation,regulation of b cell cytokine production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 renal,positive regulation of renal sodium excretion,negative regulation of renal sodium excretion,regulation of renal sodium excretion,regulation of renal output by angiotensin,epithelial cell proliferation involved in renal tubule morphogenesis,negative regulation of renal albumin absorption,bmp signaling pathway involved in renal system segmentation,mesenchymal cell differentiation involved in renal system development,regulation of blood volume by renal aldosterone,positive regulation of renal water transport,metanephric renal vesicle morphogenesis,positive regulation of renal albumin absorption,mesenchymal to epithelial transition involved in metanephric renal vesicle formation,negative regulation of renal phosphate excretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 t cell,negative regulation of t cell receptor signaling pathway,negative regulation of cd4-positive_ alpha-beta t cell costimulation,regulation of t cell migration,negative regulation of t cell activation,positive regulation of t cell chemotaxis,nk t cell differentiation,positive regulation of cd4-positive_ alpha-beta t cell differentiation,negative regulation of cd8-positive_ alpha-beta t cell differentiation,negative regulation of nk t cell proliferation,regulation of cd4-positive_ alpha-beta t cell differentiation,regulation of cd8-positive_ alpha-beta t cell differentiation,positive regulation of t cell proliferation,positive regulation of t cell mediated cytotoxicity,memory t cell extravasation,negative regulation of cytotoxic t cell degranulation,negative regulation of t cell cytokine production,positive regulation of t cell cytokine production,positive regulation of cd4-positive_ alpha-beta t cell proliferation,negative regulation of cd4-positive_ alpha-beta t cell proliferation,positive regulation of cd8-positive_ alpha-beta t cell proliferation,regulation of t cell proliferation,negative regulation of regulatory t cell differentiation,memory t cell activation,positive regulation of memory t cell differentiation,positive regulation of alpha-beta t cell proliferation,positive regulation of cd4-positive_ alpha-beta t cell costimulation,regulation of t cell activation,negative regulation of activated t cell proliferation,regulation of t cell receptor signaling pathway,positive regulation of t cell mediated cytotoxicity directed against tumor cell target,negative regulation of t cell mediated cytotoxicity,positive regulation of t cell mediated immunity,positive thymic t cell selection,negative thymic t cell selection,positive regulation of t cell differentiation,positive regulation of gamma-delta t cell differentiation,gamma-delta t cell differentiation,regulation of gamma-delta t cell differentiation,positive regulation of t cell receptor signaling pathway,negative regulation of t cell proliferation,cd4-positive_ alpha-beta t cell cytokine production,positive regulation of cd4-positive_ alpha-beta t cell activation,regulation of regulatory t cell differentiation,positive regulation of regulatory t cell differentiation,thymic t cell selection,positive regulation of alpha-beta t cell differentiation,regulation of t cell tolerance induction,activation-induced cell death of t cells,positive regulation of activated t cell proliferation,regulation of t cell homeostatic proliferation,positive regulation of t cell activation,negative regulation of t cell apoptotic process,t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,regulation of t cell differentiation in thymus,positive regulation of t cell migration,maintenance of granzyme b location in t cell secretory granule,negative regulation of cd8-positive_ alpha-beta t cell proliferation,cd4-positive_ alpha-beta t cell differentiation,negative regulation of activation-induced cell death of t cells,positive regulation of t cell differentiation in thymus,alpha-beta t cell activation,positive regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,cd4-positive_ alpha-beta t cell costimulation,regulation of t cell differentiation,regulation of cd8-positive_ alpha-beta t cell proliferation,positive regulation of cytotoxic t cell differentiation,positive regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation,positive regulation of nk t cell proliferation,positive regulation of nk t cell differentiation,gamma-delta t cell activation,positive regulation of t cell anergy,establishment of t cell polarity,regulation of cd8-positive_ alpha-beta t cell activation,helper t cell enhancement of adaptive immune response,cd8-positive_ alpha-beta t cell activation,positive regulation of cd8-positive_ alpha-beta t cell differentiation,positive regulation of nk t cell activation,positive regulation of cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation involved in immune response,negative regulation of t cell differentiation,regulation of t cell mediated immune response to tumor cell,negative regulation of cd4-positive_ alpha-beta t cell differentiation,negative regulation of t cell migration,cd8-positive_ alpha-beta intraepithelial t cell differentiation,cd8-positive_ gamma-delta intraepithelial t cell differentiation,cd8-positive_ alpha-beta t cell differentiation,regulation of activated t cell proliferation,regulation of t cell mediated cytotoxicity,regulation of activation-induced cell death of t cells,regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation,negative regulation of t cell differentiation in thymus,negative regulation of immature t cell proliferation in thymus,regulation of t cell apoptotic process,negative regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell,negative regulation of activated cd8-positive_ alpha-beta t cell apoptotic process,positive t cell selection,alpha-beta t cell differentiation,cytotoxic t cell degranulation,positive regulation of gamma-delta t cell activation,cd4-positive or cd8-positive_ alpha-beta t cell lineage commitment,helper t cell diapedesis,positive regulation of activated t cell autonomous cell death,regulation of positive thymic t cell selection,positive regulation of establishment of t cell polarity,helper t cell extravasation,positive regulation of t cell apoptotic process,positive regulation of t cell costimulation,negative regulation of nk t cell activation,negative regulation of cd4-positive_ alpha-beta t cell activation,negative regulation of positive thymic t cell selection,regulation of t cell anergy,cd8-positive_ alpha-beta t cell lineage commitment,negative regulation of t cell mediated immunity,negative regulation of t cell extravasation,negative regulation of memory t cell differentiation,regulation of t cell cytokine production,regulatory t cell differentiation,susceptibility to t cell mediated cytotoxicity,positive regulation of t cell tolerance induction,cd4-positive_ alpha-beta t cell activation,cytotoxic t cell differentiation,positive regulation of immature t cell proliferation in thymus,positive regulation of t cell mediated immune response to tumor cell,negative regulation of alpha-beta t cell differentiation,negative regulation of alpha-beta t cell proliferation,peripheral t cell tolerance induction,negative regulation of alpha-beta t cell activation,activated t cell proliferation,cd8-positive_ alpha-beta t cell differentiation involved in immune response,positive regulation of cd8-positive_ alpha-beta t cell extravasation,alpha-beta t cell lineage commitment,regulation of memory t cell differentiation,regulation of t cell chemotaxis,nk t cell proliferation,extrathymic t cell selection,alpha-beta t cell proliferation,negative regulation of establishment of t cell polarity,negative regulation of t cell antigen processing and presentation,negative regulation of cd8-positive_ alpha-beta t cell activation,positive regulation of memory t cell activation,positive regulation of cd8-positive_ alpha-beta t cell activation,regulation of cd4-positive_ alpha-beta t cell activation,primary adaptive immune response involving t cells and b cells,regulation of extrathymic t cell differentiation,regulation of nk t cell differentiation,negative t cell selection,negative regulation of immature t cell proliferation,cd4-positive_ cd25-positive_ alpha-beta regulatory t cell lineage commitment,nk t cell lineage commitment,cd4-positive_ alpha-beta t cell lineage commitment,positive regulation of immature t cell proliferation,memory t cell proliferation,positive regulation of activated cd8-positive_ alpha-beta t cell apoptotic process,regulation of establishment of t cell polarity,memory t cell differentiation,cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation,positive regulation of gamma-delta t cell activation involved in immune response,regulation of t cell antigen processing and presentation,positive regulation of peripheral t cell tolerance induction,positive regulation of cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation,positive regulation of t cell extravasation,immature t cell proliferation in thymus,,,,,,,,,,,,,,,,,,,,,,,,
cardiac muscle ,regulation of atrial cardiac muscle cell membrane depolarization,regulation of cardiac muscle contraction,sa node cell to atrial cardiac muscle cell communication by electrical coupling,atrial cardiac muscle cell to av node cell communication by electrical coupling,purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling,regulation of atrial cardiac muscle cell action potential,regulation of ventricular cardiac muscle cell membrane repolarization,regulation of ventricular cardiac muscle cell membrane depolarization,ventricular cardiac muscle cell action potential,regulation of membrane depolarization during cardiac muscle cell action potential,negative regulation of cardiac muscle hypertrophy in response to stress,ventricular cardiac muscle cell development,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,regulation of cardiac muscle cell contraction,cardiac muscle contraction,membrane depolarization during cardiac muscle cell action potential,positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,regulation of cardiac muscle cell action potential,negative regulation of cell growth involved in cardiac muscle cell development,regulation of cardiac muscle contraction by calcium ion signaling,membrane repolarization during cardiac muscle cell action potential,positive regulation of cardiac muscle hypertrophy in response to stress,negative regulation of cardiac muscle cell proliferation,negative regulation of cardiac muscle cell apoptotic process,positive regulation of cell growth involved in cardiac muscle cell development,positive regulation of cardiac muscle cell proliferation,cell growth involved in cardiac muscle cell development,positive regulation of cardiac muscle tissue regeneration,cardiac muscle cell differentiation,negative regulation of cardiac muscle hypertrophy,positive regulation of cardiac muscle contraction,ventricular cardiac muscle tissue morphogenesis,atrial cardiac muscle tissue morphogenesis,cardiac muscle cell proliferation,positive regulation of cardiac muscle cell apoptotic process,positive regulation of cardiac muscle hypertrophy,positive regulation of cardiac muscle cell differentiation,cardiac muscle cell fate commitment,canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,cardiac muscle cell development,cardiac muscle hypertrophy,purkinje myocyte to ventricular cardiac muscle cell signaling,regulation of ventricular cardiac muscle cell action potential,left ventricular cardiac muscle tissue morphogenesis,membrane depolarization during atrial cardiac muscle cell action potential,cardiac muscle thin filament assembly,negative regulation of cardiac muscle cell differentiation,negative regulation of canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,positive regulation of membrane depolarization during cardiac muscle cell action potential,regulation of cardiac muscle cell proliferation,cardiac muscle tissue development,cardiac muscle tissue morphogenesis,negative regulation of cardiac muscle tissue development,cardiac muscle hypertrophy in response to stress,cardiac muscle cell apoptotic process,regulation of atrial cardiac muscle cell membrane repolarization,membrane repolarization during ventricular cardiac muscle cell action potential,atrial cardiac muscle cell action potential,membrane repolarization during atrial cardiac muscle cell action potential,negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential,cardiac muscle tissue regeneration,cardiac muscle cell action potential involved in contraction,ventricular cardiac muscle cell membrane repolarization,negative regulation of cardiac muscle tissue regeneration,negative regulation of cardiac muscle cell myoblast differentiation,positive regulation of cardiac muscle tissue development,regulation of cardiac muscle cell membrane potential,regulation of cardiac muscle cell action potential involved in regulation of contraction,ventricular cardiac muscle tissue development,regulation of canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,cardiac muscle fiber development,positive regulation of cardiac muscle fiber development,adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation,negative regulation of cardiac muscle myoblast proliferation,positive regulation of cardiac muscle myoblast proliferation,positive regulation of cardiac muscle cell contraction,negative regulation of membrane repolarization during atrial cardiac muscle cell action potential,cardiac muscle tissue growth involved in heart morphogenesis,ventricular cardiac muscle cell differentiation,sa node cell to atrial cardiac muscle cell signaling,cardiac muscle cell action potential,negative regulation of membrane repolarization during cardiac muscle cell action potential,regulation of membrane repolarization during ventricular cardiac muscle cell action potential,positive regulation of ryanodine-sensitive calcium-release channel activity by adrenergic receptor signaling pathway involved in positive regulation of cardiac muscle contraction,cardiac muscle cell-cardiac muscle cell adhesion,post-embryonic cardiac muscle cell growth involved in heart morphogenesis,positive regulation of atrial cardiac muscle cell action potential,regulation of cardiac muscle hypertrophy in response to stress,atrial cardiac muscle cell development,negative regulation of ventricular cardiac muscle cell action potential,cardiac muscle tissue growth,regulation of cardiac muscle tissue development,regulation of cardiac muscle hypertrophy,negative regulation of membrane depolarization during cardiac muscle cell action potential,atrial cardiac muscle tissue development,planar cell polarity pathway involved in cardiac muscle tissue morphogenesis,regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,positive regulation of canonical wnt signaling pathway involved in cardiac muscle cell fate commitment,cardiac muscle cell myoblast differentiation,atrial cardiac muscle cell to av node cell communication,sa node cell to atrial cardiac muscle cell communication,cardiac muscle cell contraction,negative regulation of cardiac muscle contraction,right ventricular cardiac muscle tissue morphogenesis,negative regulation of cardiac muscle tissue growth,regulation of membrane repolarization during atrial cardiac muscle cell action potential,regulation of membrane repolarization during cardiac muscle cell action potential,positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardiac neuron,cardiac neuron differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardiocyte,cardiocyte differentiation,positive regulation of cardiocyte differentiation,negative regulation of cardiocyte differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cholangiocyte,cholangiocyte proliferation,positive regulation of cholangiocyte proliferation,negative regulation of cholangiocyte apoptotic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chondroblast,chondroblast differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chromaffin ,adrenal chromaffin cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciliated,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,multi-ciliated epithelial cell differentiation,positive regulation of lung ciliated cell differentiation,negative regulation of lung ciliated cell differentiation,lung ciliated cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciliated epithelial ,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,multi-ciliated epithelial cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
club,club cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
columnar/cuboidal epithelial ,columnar/cuboidal epithelial cell development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
connective,positive regulation of connective tissue replacement,connective tissue development,positive regulation of connective tissue replacement involved in inflammatory response wound healing,connective tissue replacement involved in inflammatory response wound healing,connective tissue replacement,positive regulation of connective tissue growth factor production,negative regulation of connective tissue growth factor production,lung connective tissue development,negative regulation of connective tissue replacement involved in inflammatory response wound healing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dendritic ,myeloid dendritic cell differentiation,negative regulation of dendritic spine development,negative regulation of dendritic spine morphogenesis,negative regulation of dendritic cell chemotaxis,myeloid dendritic cell activation involved in immune response,follicular dendritic cell activation,negative regulation of dendritic cell antigen processing and presentation,regulation of dendritic spine maintenance,negative regulation of dendritic cell differentiation,regulation of dendritic spine morphogenesis,dendritic spine development,negative regulation of myeloid dendritic cell activation,dendritic cell differentiation,dendritic spine organization,positive regulation of dendritic spine development,regulation of dendritic spine development,dendritic transport of messenger ribonucleoprotein complex,anterograde dendritic transport of neurotransmitter receptor complex,negative regulation of dendritic cell apoptotic process,dendritic cell migration,dendritic spine morphogenesis,positive regulation of myeloid dendritic cell cytokine production,follicular dendritic cell differentiation,positive regulation of dendritic spine maintenance,positive regulation of dendritic spine morphogenesis,dendritic spine maintenance,axo-dendritic transport,plasmacytoid dendritic cell activation,plasmacytoid dendritic cell antigen processing and presentation,positive regulation of myeloid dendritic cell activation,negative regulation of dendritic spine maintenance,dendritic cell chemotaxis,dendritic cell proliferation,myeloid dendritic cell activation,positive regulation of dendritic cell differentiation,dendritic cell homeostasis,positive regulation of dendritic cell chemotaxis,positive regulation of dendritic cell antigen processing and presentation,positive regulation of dendritic cell cytokine production,modification of dendritic spine,positive regulation of dendritic cell apoptotic process,anterograde dendritic transport,mature conventional dendritic cell differentiation,myeloid dendritic cell chemotaxis,regulation of dendritic cell dendrite assembly,negative regulation of plasmacytoid dendritic cell cytokine production,negative regulation of dendritic cell cytokine production,regulation of myeloid dendritic cell activation,regulation of dendritic cell differentiation,dendritic transport of mitochondrion,anterograde dendritic transport of mitochondrion,dendritic cell cytokine production,regulation of dendritic cell cytokine production,positive regulation of axo-dendritic protein transport,dendritic cell dendrite assembly,positive regulation of dendritic cell dendrite assembly,positive regulation of myeloid dendritic cell chemotaxis,negative regulation of dendritic cell dendrite assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duct ,intrahepatic bile duct development,branching involved in mammary gland duct morphogenesis,mammary duct terminal end bud growth,nephric duct morphogenesis,nephric duct formation,metanephric collecting duct development,mullerian duct regression,negative regulation of apoptotic process involved in metanephric collecting duct development,mammary gland duct morphogenesis,mesonephric duct development,tertiary branching involved in mammary gland duct morphogenesis,regulation of branching involved in mammary gland duct morphogenesis,bmp signaling pathway involved in nephric duct formation,paramesonephric duct development,oviduct epithelium development,nephric duct elongation,oviduct development,nephric duct development,mesonephric duct formation,epithelial cell proliferation involved in mammary gland duct elongation,collecting duct development,common bile duct development,branch elongation involved in mammary gland duct branching,mesonephric duct morphogenesis,outer medullary collecting duct development,inner medullary collecting duct development,lateral sprouting involved in mammary gland duct morphogenesis,dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis,metanephric cortical collecting duct development,pronephric duct morphogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ectodermal ,trophectodermal cell differentiation,trophectodermal cellular morphogenesis,ectodermal cell fate commitment,trophectodermal cell proliferation,positive regulation of trophectodermal cell proliferation,ectodermal cell differentiation,embryonic ectodermal digestive tract morphogenesis,negative regulation of ectodermal cell fate specification,embryonic ectodermal digestive tract development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endocardial ,endocardial cushion to mesenchymal transition involved in heart valve formation,endocardial cushion morphogenesis,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial cushion fusion,negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial cushion formation,epithelial to mesenchymal transition involved in endocardial cushion formation,cell migration involved in endocardial cushion formation,endocardial cushion development,endocardial cell differentiation,endocardial cushion cell fate commitment,endocardial cushion cell development,inferior endocardial cushion morphogenesis,positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation,endocardial cushion to mesenchymal transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endodermal ,endodermal cell fate commitment,endodermal cell differentiation,regulation of endodermal cell fate specification,endodermal cell fate specification,mesodermal-endodermal cell signaling,negative regulation of endodermal cell fate specification,endodermal cell fate determination,endodermal digestive tract morphogenesis,negative regulation of endodermal cell differentiation,positive regulation of endodermal cell differentiation,regulation of transcription from rna polymerase ii promoter involved in definitive endodermal cell fate specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endothelial,positive regulation of endothelial cell apoptotic process,positive regulation of endothelial cell proliferation,positive regulation of vascular endothelial growth factor receptor signaling pathway,positive regulation of vascular endothelial growth factor production,endothelial cell migration,endothelial cell chemotaxis,vascular endothelial growth factor production,regulation of blood vessel endothelial cell migration,regulation of endothelial cell migration,vascular endothelial growth factor receptor signaling pathway,establishment of endothelial intestinal barrier,positive regulation of establishment of endothelial barrier,negative regulation of vascular endothelial growth factor production,negative regulation of vascular endothelial growth factor signaling pathway,positive regulation of endothelial cell migration,positive regulation of endothelial cell differentiation,negative regulation of blood vessel endothelial cell migration,negative regulation of cellular response to vascular endothelial growth factor stimulus,positive regulation of blood vessel endothelial cell migration,positive regulation of vascular endothelial cell proliferation,cellular response to vascular endothelial growth factor stimulus,endothelial cell apoptotic process,negative regulation of endothelial cell apoptotic process,negative regulation of vascular endothelial cell proliferation,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial cell proliferation,regulation of transcription involved in lymphatic endothelial cell fate commitment,lymphatic endothelial cell differentiation,endothelial cell differentiation,lymphatic endothelial cell migration,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,positive regulation of vascular endothelial growth factor signaling pathway,negative regulation of endothelial cell differentiation,vascular endothelial growth factor signaling pathway,endothelial tip cell fate specification,negative regulation of endothelial cell proliferation,positive regulation of leukocyte adhesion to arterial endothelial cell,negative regulation of endothelial cell migration,regulation of establishment of endothelial barrier,negative regulation of vascular endothelial growth factor receptor signaling pathway,regulation of vascular endothelial growth factor receptor signaling pathway,positive regulation of leukocyte adhesion to vascular endothelial cell,regulation of endothelial cell chemotaxis to fibroblast growth factor,establishment of endothelial barrier,negative regulation of endothelial cell-matrix adhesion via fibronectin,blood vessel endothelial cell migration,negative regulation of leukocyte adhesion to vascular endothelial cell,negative regulation of blood vessel endothelial cell differentiation,endothelial cell activation,regulation of endothelial cell differentiation,endothelial tube morphogenesis,regulation of endothelial cell proliferation,blood vessel endothelial cell proliferation involved in sprouting angiogenesis,regulation of vascular endothelial growth factor signaling pathway,blood vessel endothelial cell delamination,positive regulation of endothelial cell chemotaxis,vascular endothelial growth factor receptor-1 signaling pathway,endothelial tube lumen extension,negative regulation of endothelial cell chemotaxis to vascular endothelial growth factor,negative regulation of endothelial cell chemotaxis to fibroblast growth factor,endothelial cell morphogenesis,vascular endothelial cell response to fluid shear stress,positive regulation of endothelial cell activation,regulation of vascular endothelial growth factor production,endothelial to hematopoietic transition,positive regulation of endothelial cell chemotaxis by vegf-activated vascular endothelial growth factor receptor signaling pathway,vascular endothelial growth factor receptor-2 signaling pathway,vascular endothelial growth factor receptor-3 signaling pathway,pulmonary artery endothelial tube morphogenesis,positive regulation of cardiac endothelial to mesenchymal transition,negative regulation of endothelial cell chemotaxis,positive regulation of endothelial tube morphogenesis,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,endothelial cell-cell adhesion,arterial endothelial cell differentiation,endothelial cell development,negative regulation of endothelial tube morphogenesis,endothelial cell-matrix adhesion,positive regulation of endothelial cell-matrix adhesion via fibronectin,leukocyte adhesion to vascular endothelial cell,regulation of endothelial tube morphogenesis,blood vessel endothelial cell fate specification,arterial endothelial cell fate commitment,lymphocyte chemotaxis across high endothelial venule,endothelial cell chemotaxis to fibroblast growth factor,leukocyte adhesion to arterial endothelial cell,positive regulation of endothelial cell chemotaxis to fibroblast growth factor,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial cell chemotaxis to vascular endothelial growth factor,regulation of endothelial cell apoptotic process,negative regulation of establishment of endothelial barrier,notch signaling pathway involved in arterial endothelial cell fate commitment,blood vessel endothelial cell differentiation,establishment of endothelial blood-brain barrier,cardiac endothelial to mesenchymal transition,endothelial cell activation involved in immune response,negative regulation of leukocyte adhesion to arterial endothelial cell,venous endothelial cell differentiation,regulation of leukocyte adhesion to vascular endothelial cell,canonical wnt signaling pathway involved in positive regulation of endothelial cell migration,lymphatic endothelial cell fate commitment,positive regulation of blood vessel endothelial cell differentiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
