process,go,genes,id
mitochondrial electron transport_ cytochrome c to oxygen,GO:0006123,ENSG00000198804;ENSG00000198712;ENSG00000198938;ENSG00000014919;ENSG00000176340;ENSG00000111775;ENSG00000178741;ENSG00000156885;ENSG00000131143;ENSG00000006695;ENSG00000126267;ENSG00000115944;ENSG00000135940;ENSG00000131055;ENSG00000127184;ENSG00000135537;ENSG00000189043;ENSG00000172115;ENSG00000164919;ENSG00000131174;,11
electron transport coupled proton transport,GO:0015990,ENSG00000198804;ENSG00000198886;ENSG00000198786;ENSG00000198727;ENSG00000115286;,12
respiratory electron transport chain,GO:0022904,ENSG00000198804;ENSG00000198938;ENSG00000198727;ENSG00000042286;ENSG00000205707;ENSG00000140374;ENSG00000132382;ENSG00000256525;ENSG00000105379;ENSG00000109819;ENSG00000171503;ENSG00000073578;ENSG00000145494;ENSG00000164182;ENSG00000112096;ENSG00000184903;ENSG00000128609;ENSG00000117118;ENSG00000158828;,13
lactation,GO:0007595,ENSG00000198712;ENSG00000160685;ENSG00000173171;ENSG00000117601;ENSG00000107954;ENSG00000110092;ENSG00000111424;ENSG00000120833;ENSG00000196498;ENSG00000123191;ENSG00000100644;ENSG00000171956;ENSG00000125166;ENSG00000102967;ENSG00000198931;ENSG00000125686;ENSG00000173757;ENSG00000126561;ENSG00000239672;ENSG00000105698;ENSG00000084676;ENSG00000084774;ENSG00000158125;ENSG00000159399;ENSG00000118260;ENSG00000178568;ENSG00000180914;ENSG00000160145;ENSG00000114491;ENSG00000128059;ENSG00000135222;ENSG00000171209;ENSG00000142319;ENSG00000113494;ENSG00000145730;ENSG00000129596;ENSG00000172179;ENSG00000204580;ENSG00000112715;ENSG00000112759;ENSG00000106128;ENSG00000105974;ENSG00000158669;ENSG00000094841;ENSG00000165240;ENSG00000171388;,14
response to cold,GO:0009409,ENSG00000198712;ENSG00000043591;ENSG00000148926;ENSG00000109991;ENSG00000175567;ENSG00000175564;ENSG00000166575;ENSG00000070961;ENSG00000126803;ENSG00000170345;ENSG00000080824;ENSG00000175344;ENSG00000150394;ENSG00000072778;ENSG00000126351;ENSG00000176845;ENSG00000101493;ENSG00000099622;ENSG00000130304;ENSG00000144381;ENSG00000064012;ENSG00000144481;ENSG00000132170;ENSG00000109819;ENSG00000169245;ENSG00000145287;ENSG00000109424;ENSG00000169252;ENSG00000137198;ENSG00000153291;ENSG00000120256;ENSG00000112096;ENSG00000128564;ENSG00000175445;ENSG00000104321;ENSG00000102109;ENSG00000117054;ENSG00000162390;,15
positive regulation of hydrogen peroxide biosynthetic process,GO:0010729,ENSG00000198712;ENSG00000140274;ENSG00000140254;ENSG00000122386;,16
positive regulation of necrotic cell death,GO:0010940,ENSG00000198712;ENSG00000176171;ENSG00000010379;ENSG00000129465;ENSG00000087250;ENSG00000100300;ENSG00000131389;ENSG00000137275;ENSG00000051620;,17
positive regulation of ATP biosynthetic process,GO:2001171,ENSG00000198712;ENSG00000168610;ENSG00000115840;ENSG00000153823;ENSG00000109819;ENSG00000113520;ENSG00000095970;ENSG00000136997;ENSG00000165280;ENSG00000205542;ENSG00000102125;ENSG00000158828;ENSG00000074800;,18
ATP synthesis coupled electron transport,GO:0042773,ENSG00000198712;ENSG00000212907;ENSG00000198886;ENSG00000198786;ENSG00000267855;ENSG00000023228;,19
ATP synthesis coupled proton transport,GO:0015986,ENSG00000228253;ENSG00000198899;ENSG00000165629;ENSG00000167283;ENSG00000135390;ENSG00000110955;ENSG00000185883;ENSG00000075399;ENSG00000159199;ENSG00000167863;ENSG00000152234;ENSG00000099624;ENSG00000154518;ENSG00000124172;ENSG00000154723;ENSG00000241837;ENSG00000249222;ENSG00000114573;ENSG00000169020;ENSG00000116459;,20
ATP biosynthetic process,GO:0006754,ENSG00000228253;ENSG00000198899;ENSG00000143627;ENSG00000165629;ENSG00000166796;ENSG00000204922;ENSG00000167283;ENSG00000135390;ENSG00000110955;ENSG00000125375;ENSG00000067225;ENSG00000149925;ENSG00000159199;ENSG00000167863;ENSG00000152234;ENSG00000099624;ENSG00000114956;ENSG00000154518;ENSG00000124172;ENSG00000154723;ENSG00000241837;ENSG00000249222;ENSG00000169020;ENSG00000176410;ENSG00000004864;ENSG00000241468;ENSG00000106617;ENSG00000116459;,21
cristae formation,GO:0042407,ENSG00000228253;ENSG00000198899;ENSG00000165629;ENSG00000204922;ENSG00000167283;ENSG00000135390;ENSG00000110955;ENSG00000125375;ENSG00000197912;ENSG00000159199;ENSG00000167863;ENSG00000141385;ENSG00000152234;ENSG00000099624;ENSG00000174917;ENSG00000132305;ENSG00000154518;ENSG00000124172;ENSG00000154723;ENSG00000241837;ENSG00000100347;ENSG00000159685;ENSG00000169020;ENSG00000168924;ENSG00000241468;ENSG00000106554;ENSG00000184831;ENSG00000155008;ENSG00000102125;ENSG00000116459;ENSG00000162600;ENSG00000007923;,22
mitochondrial ATP synthesis coupled proton transport,GO:0042776,ENSG00000228253;ENSG00000198899;ENSG00000165629;ENSG00000167283;ENSG00000135390;ENSG00000110955;ENSG00000125375;ENSG00000159199;ENSG00000167863;ENSG00000152234;ENSG00000099624;ENSG00000135940;ENSG00000154518;ENSG00000124172;ENSG00000154723;ENSG00000241837;ENSG00000169020;ENSG00000241468;ENSG00000179091;ENSG00000165283;ENSG00000116459;,23
response to hyperoxia,GO:0055093,ENSG00000198899;ENSG00000198727;ENSG00000176171;ENSG00000121691;ENSG00000130037;ENSG00000135446;ENSG00000140465;ENSG00000140521;ENSG00000108821;ENSG00000113721;ENSG00000124762;ENSG00000196591;ENSG00000112096;ENSG00000130427;ENSG00000070501;ENSG00000116478;ENSG00000162493;,24
respiratory chain complex IV assembly,GO:0008535,ENSG00000198938;ENSG00000168275;ENSG00000014919;ENSG00000133028;ENSG00000006695;ENSG00000163626;ENSG00000148290;,25
response to light intensity,GO:0009642,ENSG00000198840;ENSG00000129159;ENSG00000121691;ENSG00000166006;ENSG00000074621;ENSG00000114349;ENSG00000182197;ENSG00000134183;,26
response to hormone,GO:0009725,ENSG00000198840;ENSG00000198727;ENSG00000131788;ENSG00000163041;ENSG00000155229;ENSG00000166402;ENSG00000110492;ENSG00000002330;ENSG00000239306;ENSG00000075239;ENSG00000134533;ENSG00000123342;ENSG00000089250;ENSG00000057593;ENSG00000214274;ENSG00000157227;ENSG00000136352;ENSG00000142208;ENSG00000128739;ENSG00000140263;ENSG00000176692;ENSG00000007171;ENSG00000132475;ENSG00000035862;ENSG00000196365;ENSG00000197487;ENSG00000084676;ENSG00000115353;ENSG00000115641;ENSG00000198646;ENSG00000100234;ENSG00000198125;ENSG00000100348;ENSG00000157017;ENSG00000157150;ENSG00000180353;ENSG00000121853;ENSG00000004468;ENSG00000138796;ENSG00000083720;ENSG00000112964;ENSG00000112972;ENSG00000113083;ENSG00000112658;ENSG00000001084;ENSG00000065833;ENSG00000106483;ENSG00000127948;ENSG00000157214;ENSG00000006128;ENSG00000164867;ENSG00000120907;ENSG00000120899;ENSG00000254087;ENSG00000135046;ENSG00000148218;ENSG00000204001;ENSG00000102265;ENSG00000162688;ENSG00000132855;ENSG00000116133;,27
cellular response to glucocorticoid stimulus,GO:0071385,ENSG00000198840;ENSG00000153187;ENSG00000129152;ENSG00000084207;ENSG00000122025;ENSG00000185650;ENSG00000162009;ENSG00000180616;ENSG00000141433;ENSG00000128016;ENSG00000152518;ENSG00000153094;ENSG00000241635;ENSG00000132671;ENSG00000185651;ENSG00000168309;ENSG00000084093;ENSG00000016082;ENSG00000113580;ENSG00000078401;ENSG00000159167;ENSG00000135046;,28
response to nicotine,GO:0035094,ENSG00000198886;ENSG00000160716;ENSG00000198400;ENSG00000018625;ENSG00000135750;ENSG00000180176;ENSG00000149295;ENSG00000139515;ENSG00000175344;ENSG00000169684;ENSG00000117971;ENSG00000183044;ENSG00000131771;ENSG00000108819;ENSG00000171791;ENSG00000115353;ENSG00000150551;ENSG00000118260;ENSG00000101200;ENSG00000101204;ENSG00000100030;ENSG00000100292;ENSG00000163623;ENSG00000151012;ENSG00000164305;ENSG00000142319;ENSG00000169194;ENSG00000078401;ENSG00000118432;ENSG00000196591;ENSG00000214415;ENSG00000120903;ENSG00000147465;ENSG00000147432;ENSG00000181195;ENSG00000162692;,29
response to organonitrogen compound,GO:0010243,ENSG00000198786;ENSG00000198727;ENSG00000143198;ENSG00000073756;ENSG00000159388;ENSG00000170312;ENSG00000130649;ENSG00000110092;ENSG00000110330;ENSG00000166741;ENSG00000008394;ENSG00000196498;ENSG00000081760;ENSG00000122025;ENSG00000125257;ENSG00000186009;ENSG00000100823;ENSG00000125952;ENSG00000169375;ENSG00000167397;ENSG00000087258;ENSG00000196689;ENSG00000108819;ENSG00000157103;ENSG00000157005;ENSG00000085871;ENSG00000129596;ENSG00000124762;ENSG00000120899;ENSG00000185122;ENSG00000069509;ENSG00000180772;ENSG00000126067;ENSG00000078900;,30
response to hydrogen peroxide,GO:0042542,ENSG00000198786;ENSG00000023572;ENSG00000158615;ENSG00000162909;ENSG00000170312;ENSG00000096717;ENSG00000165672;ENSG00000244734;ENSG00000134333;ENSG00000121691;ENSG00000002330;ENSG00000173039;ENSG00000175592;ENSG00000109846;ENSG00000130037;ENSG00000102572;ENSG00000114062;ENSG00000188536;ENSG00000206172;ENSG00000087258;ENSG00000257017;ENSG00000167193;ENSG00000108821;ENSG00000171791;ENSG00000167658;ENSG00000115884;ENSG00000119782;ENSG00000183023;ENSG00000115415;ENSG00000144381;ENSG00000115694;ENSG00000197122;ENSG00000196839;ENSG00000142168;ENSG00000100292;ENSG00000198125;ENSG00000233276;ENSG00000186432;ENSG00000114209;ENSG00000109321;ENSG00000164305;ENSG00000132356;ENSG00000113721;ENSG00000120129;ENSG00000030110;ENSG00000010810;ENSG00000112096;ENSG00000120899;ENSG00000104695;ENSG00000147465;ENSG00000168615;ENSG00000104321;ENSG00000137074;ENSG00000119508;ENSG00000134602;ENSG00000177606;ENSG00000116288;,31
mitochondrial electron transport_ ubiquinol to cytochrome c,GO:0006122,ENSG00000198727;ENSG00000204922;ENSG00000140740;ENSG00000127540;ENSG00000169021;ENSG00000184076;ENSG00000010256;ENSG00000164405;ENSG00000172115;ENSG00000156467;ENSG00000179091;ENSG00000169057;ENSG00000173660;,32
response to nutrient,GO:0007584,ENSG00000198727;ENSG00000143420;ENSG00000143627;ENSG00000117601;ENSG00000116906;ENSG00000196139;ENSG00000171862;ENSG00000134333;ENSG00000149485;ENSG00000175564;ENSG00000118137;ENSG00000198851;ENSG00000137700;ENSG00000006831;ENSG00000120868;ENSG00000081760;ENSG00000129562;ENSG00000067225;ENSG00000167207;ENSG00000181019;ENSG00000131143;ENSG00000133027;ENSG00000108602;ENSG00000108576;ENSG00000108821;ENSG00000215644;ENSG00000101670;ENSG00000006638;ENSG00000012061;ENSG00000010310;ENSG00000183023;ENSG00000138075;ENSG00000143921;ENSG00000128708;ENSG00000115415;ENSG00000115457;ENSG00000123983;ENSG00000241635;ENSG00000101444;ENSG00000239900;ENSG00000100299;ENSG00000132170;ENSG00000163513;ENSG00000114353;ENSG00000114200;ENSG00000181092;ENSG00000157005;ENSG00000145423;ENSG00000151726;ENSG00000174358;ENSG00000083720;ENSG00000151882;ENSG00000113161;ENSG00000113273;ENSG00000131183;ENSG00000172179;ENSG00000226979;ENSG00000166278;ENSG00000001084;ENSG00000083123;ENSG00000118432;ENSG00000127948;ENSG00000130427;ENSG00000174697;ENSG00000147465;ENSG00000137561;ENSG00000164761;ENSG00000185122;ENSG00000165029;ENSG00000148218;ENSG00000167114;ENSG00000130707;ENSG00000125363;ENSG00000165168;ENSG00000147162;ENSG00000068366;ENSG00000162692;ENSG00000162688;ENSG00000023909;ENSG00000117305;ENSG00000198793;,33
response to heat,GO:0009408,ENSG00000198727;ENSG00000143536;ENSG00000143627;ENSG00000143318;ENSG00000107562;ENSG00000023839;ENSG00000110680;ENSG00000109991;ENSG00000017427;ENSG00000089250;ENSG00000111361;ENSG00000080618;ENSG00000126803;ENSG00000119718;ENSG00000080824;ENSG00000142208;ENSG00000140403;ENSG00000103423;ENSG00000140682;ENSG00000069345;ENSG00000167723;ENSG00000196689;ENSG00000233670;ENSG00000187688;ENSG00000076984;ENSG00000115211;ENSG00000115353;ENSG00000138379;ENSG00000144381;ENSG00000142168;ENSG00000142185;ENSG00000145191;ENSG00000157005;ENSG00000163453;ENSG00000170458;ENSG00000204516;ENSG00000001084;ENSG00000120256;ENSG00000164867;ENSG00000213199;ENSG00000164938;ENSG00000185122;ENSG00000164985;ENSG00000086061;ENSG00000162616;ENSG00000070785;,34
response to toxic substance,GO:0009636,ENSG00000198727;ENSG00000143595;ENSG00000143819;ENSG00000198835;ENSG00000225830;ENSG00000170312;ENSG00000062650;ENSG00000213341;ENSG00000165646;ENSG00000170430;ENSG00000129159;ENSG00000121691;ENSG00000149124;ENSG00000149452;ENSG00000084207;ENSG00000110721;ENSG00000149295;ENSG00000172367;ENSG00000070019;ENSG00000135446;ENSG00000135679;ENSG00000166006;ENSG00000111786;ENSG00000092068;ENSG00000100867;ENSG00000092108;ENSG00000170345;ENSG00000051180;ENSG00000104154;ENSG00000140465;ENSG00000184602;ENSG00000176046;ENSG00000102882;ENSG00000198848;ENSG00000039068;ENSG00000181019;ENSG00000108576;ENSG00000108578;ENSG00000173786;ENSG00000136492;ENSG00000176890;ENSG00000171791;ENSG00000197971;ENSG00000004777;ENSG00000197446;ENSG00000087088;ENSG00000118965;ENSG00000115884;ENSG00000119772;ENSG00000138061;ENSG00000169432;ENSG00000021826;ENSG00000088305;ENSG00000100030;ENSG00000128309;ENSG00000128272;ENSG00000157103;ENSG00000233276;ENSG00000163347;ENSG00000109606;ENSG00000163288;ENSG00000151012;ENSG00000137462;ENSG00000134057;ENSG00000170482;ENSG00000113721;ENSG00000137274;ENSG00000124762;ENSG00000112658;ENSG00000106546;ENSG00000241644;ENSG00000132437;ENSG00000005421;ENSG00000105852;ENSG00000105854;ENSG00000070669;ENSG00000120915;ENSG00000147465;ENSG00000254087;ENSG00000181195;ENSG00000137561;ENSG00000119121;ENSG00000136936;ENSG00000148218;ENSG00000130707;ENSG00000160323;ENSG00000069535;ENSG00000156709;,35
animal organ regeneration,GO:0031100,ENSG00000198727;ENSG00000158874;ENSG00000151461;ENSG00000107562;ENSG00000170312;ENSG00000148926;ENSG00000084207;ENSG00000110092;ENSG00000166741;ENSG00000118137;ENSG00000125084;ENSG00000135446;ENSG00000139515;ENSG00000122025;ENSG00000136167;ENSG00000057593;ENSG00000183087;ENSG00000119630;ENSG00000067225;ENSG00000125686;ENSG00000167085;ENSG00000167601;ENSG00000105329;ENSG00000197405;ENSG00000134324;ENSG00000084774;ENSG00000138363;ENSG00000241635;ENSG00000132170;ENSG00000163513;ENSG00000128059;ENSG00000138772;ENSG00000145386;ENSG00000030110;ENSG00000124762;ENSG00000197081;ENSG00000019991;ENSG00000091879;ENSG00000119508;ENSG00000136881;ENSG00000136877;ENSG00000148400;ENSG00000101911;ENSG00000158571;ENSG00000069702;ENSG00000131910;ENSG00000060656;,36
response to cobalamin,GO:0033590,ENSG00000198727;ENSG00000173039;ENSG00000101017;ENSG00000146648;,37
response to glucagon,GO:0033762,ENSG00000198727;ENSG00000023839;ENSG00000008405;ENSG00000072310;ENSG00000118260;ENSG00000021826;ENSG00000151552;ENSG00000145386;ENSG00000129596;ENSG00000179091;ENSG00000158571;,38
hyperosmotic salinity response,GO:0042538,ENSG00000198727;ENSG00000111199;ENSG00000101405;ENSG00000101200;ENSG00000163347;ENSG00000169836;,39
response to cadmium ion,GO:0046686,ENSG00000198727;ENSG00000170312;ENSG00000120053;ENSG00000152266;ENSG00000121691;ENSG00000111276;ENSG00000166710;ENSG00000140263;ENSG00000141458;ENSG00000166347;ENSG00000105220;ENSG00000012061;ENSG00000162882;ENSG00000168393;ENSG00000171867;ENSG00000132646;ENSG00000100983;ENSG00000157404;ENSG00000164362;ENSG00000113140;ENSG00000131183;ENSG00000050748;ENSG00000001084;ENSG00000118520;ENSG00000112096;ENSG00000106268;ENSG00000148218;ENSG00000188786;,40
response to mercury ion,GO:0046689,ENSG00000198727;ENSG00000103569;ENSG00000198650;ENSG00000172270;ENSG00000131183;ENSG00000148218;,41
response to calcium ion,GO:0051592,ENSG00000198727;ENSG00000188643;ENSG00000118194;ENSG00000150275;ENSG00000138279;ENSG00000156113;ENSG00000122359;ENSG00000002330;ENSG00000110092;ENSG00000139287;ENSG00000067715;ENSG00000089041;ENSG00000020426;ENSG00000198668;ENSG00000137801;ENSG00000092529;ENSG00000069869;ENSG00000129673;ENSG00000010310;ENSG00000160014;ENSG00000115884;ENSG00000143933;ENSG00000115840;ENSG00000155657;ENSG00000197586;ENSG00000099901;ENSG00000166862;ENSG00000157103;ENSG00000036828;ENSG00000144935;ENSG00000198829;ENSG00000138668;ENSG00000138674;ENSG00000138823;ENSG00000138814;ENSG00000138741;ENSG00000171564;ENSG00000171560;ENSG00000171557;ENSG00000249915;ENSG00000152413;ENSG00000113140;ENSG00000145936;ENSG00000120129;ENSG00000096433;ENSG00000146648;ENSG00000004864;ENSG00000105974;ENSG00000120899;ENSG00000168615;ENSG00000181195;ENSG00000165272;ENSG00000119523;ENSG00000148344;ENSG00000125363;ENSG00000203879;ENSG00000134200;ENSG00000168710;ENSG00000162517;,42
binding of sperm to zona pellucida,GO:0007339,ENSG00000134249;ENSG00000143569;ENSG00000163468;ENSG00000165637;ENSG00000149506;ENSG00000064199;ENSG00000166226;ENSG00000180481;ENSG00000139985;ENSG00000134007;ENSG00000103310;ENSG00000149925;ENSG00000186075;ENSG00000115257;ENSG00000130270;ENSG00000131126;ENSG00000115484;ENSG00000135624;ENSG00000156261;ENSG00000100299;ENSG00000100312;ENSG00000114302;ENSG00000090512;ENSG00000153132;ENSG00000150753;ENSG00000204390;ENSG00000124812;ENSG00000120438;ENSG00000042813;ENSG00000188372;ENSG00000146707;ENSG00000146839;ENSG00000106304;ENSG00000165076;ENSG00000184647;ENSG00000104755;ENSG00000160886;ENSG00000086062;ENSG00000085465;,43
regulation of developmental process,GO:0050793,ENSG00000134250;ENSG00000074181;ENSG00000204301;ENSG00000148400;,44
cell fate determination,GO:0001709,ENSG00000134250;ENSG00000143384;ENSG00000117707;ENSG00000107485;ENSG00000075891;ENSG00000007372;ENSG00000177103;ENSG00000003137;ENSG00000168036;ENSG00000179348;ENSG00000204301;ENSG00000198719;ENSG00000105996;ENSG00000221818;ENSG00000185920;ENSG00000143032;ENSG00000117425;,45
marginal zone B cell differentiation,GO:0002315,ENSG00000134250;ENSG00000069399;ENSG00000135905;ENSG00000100060;ENSG00000198719;ENSG00000106003;ENSG00000120899;ENSG00000079112;ENSG00000147251;,46
hemopoiesis,GO:0030097,ENSG00000134250;ENSG00000163554;ENSG00000136634;ENSG00000174059;ENSG00000092969;ENSG00000185155;ENSG00000154342;ENSG00000168283;ENSG00000182010;ENSG00000166224;ENSG00000110693;ENSG00000073921;ENSG00000109906;ENSG00000149571;ENSG00000110876;ENSG00000111252;ENSG00000122025;ENSG00000139618;ENSG00000139842;ENSG00000182512;ENSG00000157483;ENSG00000067836;ENSG00000169877;ENSG00000005194;ENSG00000154803;ENSG00000109101;ENSG00000182742;ENSG00000128791;ENSG00000171791;ENSG00000064666;ENSG00000099875;ENSG00000105672;ENSG00000170949;ENSG00000152518;ENSG00000116016;ENSG00000068724;ENSG00000143995;ENSG00000075340;ENSG00000171456;ENSG00000185513;ENSG00000159216;ENSG00000160199;ENSG00000168036;ENSG00000121807;ENSG00000179348;ENSG00000163659;ENSG00000168214;ENSG00000157404;ENSG00000182578;ENSG00000183072;ENSG00000204301;ENSG00000124813;ENSG00000013375;ENSG00000135535;ENSG00000112096;ENSG00000198719;ENSG00000065883;ENSG00000105810;ENSG00000172728;ENSG00000129691;ENSG00000104332;ENSG00000254087;ENSG00000154188;ENSG00000066827;ENSG00000165304;ENSG00000101882;ENSG00000102125;ENSG00000162676;ENSG00000020633;ENSG00000182866;ENSG00000162367;,47
