Process name,GO_id,Genes
mitochondrial electron transport_ cytochrome c to oxygen,GO:0006123,COX6B1;COX7A2L;COX4I2;COX4I1;MT-CO1;COX15;COX6A1;MT-CO2;CYCS;NDUFA4;COX10;AFG1L;COX7C;MT-CO3;COX8A;COX5B;COX7B;COX5A;COX6C;COX6A2;
electron transport coupled proton transport,GO:0015990,MT-ND4;MT-CO1;NDUFS7;MT-CYB;MT-ND5;
respiratory electron transport chain,GO:0022904,PPARGC1A;IMMP2L;ETFB;SCO2;SDHA;MYBBP1A;PINK1;AIFM2;ETFRF1;SDHB;ETFDH;NDUFA5;MT-CO1;POLG2;MT-CO3;UQCRFS1;ETFA;MT-CYB;
lactation,GO:0007595,SLC6A3;HK2;APRT;MTX1;CCND1;UMPS;MT-CO2;CSN2;GHRHR;STAT5B;GOT2;PPAT;NCOR2;NEURL1;XDH;OXTR;MED1;PRL;PRLR;ZBTB7B;VEGFA;DHODH;CSN3;SOCS2;APLN;GPAT4;STAT5A;KALRN;CDO1;CAV1;CAD;FOXB1;HIF1A;SLC29A1;NCOA1;USF2;ATP7A;DDR1;ERBB4;PAM;NME1;CREB1;VDR;SERPINC1;UPRT;
response to cold,GO:0009409,UCP2;GMPR;TRPM8;METRNL;TMEM135;P2RX3;MT-CO2;CXCL10;PLAC8;ADRB1;HSPD1;PCSK1N;ACOT11;PPARGC1A;SLC25A27;ACADVL;TRH;TRPA1;UCP3;ATP2B1;THRA;CDH8;PPARG;HSP90AA1;CIRBP;UCP1;HSPA2;SLC27A1;ADM;FOS;VGF;ADRB2;SOD2;CASP8;ACADM;LPL;ZNF516;
positive regulation of hydrogen peroxide biosynthetic process,GO:0010729,MT-CO2;DUOXA2;DUOXA1;SOD2;ZNF205;
positive regulation of necrotic cell death,GO:0010940,RIPK1;RIPK3;SLC6A6;MT-CO2;BNIP3;TSPO;SLC6A13;MT3;HEBP2;
positive regulation of ATP biosynthetic process,GO:2001171,PPARA;TMSB4X;PPARGC1A;MT-CO2;PINK1;MYC;TAZ;SLC25A12;STAT3;TREM2;IL4;ENO1;PID1;VCP;
ATP synthesis coupled electron transport,GO:0042773,MT-ND4;MT-CO2;MT-ND4L;NDUFS1;NDUFA7;MT-ND5;
ATP synthesis coupled proton transport,GO:0015986,;ATP5MC3;ATP5F1E;ATP5PB;ATP5MC2;ATP5PO;ATP5ME;VPS9D1;ATP5F1A;ATP5PD;MT-ATP6;ATP5MC1;ATP5F1C;ATP5F1D;ATP5MG;ATP5MGL;ATP5F1B;ATP6V1A;ATP6V0C;ATP5PF;MT-ATP8;
ATP biosynthetic process,GO:0006754,;DMAC2L;PRKAG2;ATP5MC3;UQCC3;ATP5F1E;ATP5PB;ATP5MC2;ATP5PO;ATP5ME;ATP5F1A;ATP5PD;ATP5MF-PTCD1;MT-ATP6;SLC25A13;ATP5MC1;ATP5F1C;NUDT2;ATP5F1D;ATP5MG;DNAJC30;ATP5MGL;ATP5F1B;LDHC;ATP5MF;PKLR;ALDOA;ATP5PF;DGUOK;MT-ATP8;
cristae formation,GO:0042407,DMAC2L;APOO;LETM1;ATP5MC3;UQCC3;ATP5F1E;SPG7;ATP5PB;ATP5PO;ATP5MC2;ATP5ME;CHCHD3;ATP5F1A;ATP5PD;DNAJC11;MT-ATP6;APOOL;ATP5MC1;ATP5F1C;ATP5F1D;ATP5MG;ATP5F1B;ATP5MF;CHCHD6;IMMT;MICOS13;ATP5PF;TAZ;AFG3L2;SAMM50;MT-ATP8;
mitochondrial ATP synthesis coupled proton transport,GO:0042776,;DMAC2L;ATP5MC3;ATP5F1E;STOML2;ATP5PB;ATP5MC2;ATP5PO;ATP5ME;ATP5F1A;ATP5PD;MT-ATP6;ATP5MC1;ATP5F1C;ATP5F1D;ATP5MG;ATP5F1B;ATP5MF;ATP5PF;MT-ATP8;
response to hyperoxia,GO:0055093,HDAC1;CAT;CYP1A1;KCNA5;CDKN1A;PDGFRB;BNIP3;POLG;HDAC2;COL1A1;POLB;MT-ATP6;EPO;CDK4;MT-CYB;PDPN;
respiratory chain complex IV assembly,GO:0008535,COX18;SCO2;SCO1;COX10;SURF1;COA6;COX15;MT-CO3;
response to light intensity,GO:0009642,CAT;KCNC1;SLC24A1;MT-ND3;EXT1;KCNC2;GNAT1;GNAT2;
response to hormone,GO:0009725,SNRPN;TXN2;AKT1;STEAP2;PIAS3;RERG;CD38;GHRL;ADRA1A;GHR;F7;TAC1;TIMP2;NCOA4;HADH;AGL;NOS3;LOX;LONP1;GHSR;HMGCS1;ANG;MDK;MT-ND3;HCLS1;MB;GCLC;FHL2;TIMP1;MMP14;MT-CYB;SFRP4;FOXC2;ANGPTL3;MMS19;TUB;NCOA6;ACAT1;LCN8;ME1;RBM14;LYN;SRF;PTK2B;NQO1;BAD;NOS2;GALP;ALAD;NCOA1;TIMP4;DHCR24;NKX2-1;TIMP3;ANXA1;NOS1;POR;SORD;OXCT1;
cellular response to glucocorticoid stimulus,GO:0071385,EDN1;ADCYAP1;SSTR4;STC1;ZFP36L1;FLT3;MT-ND3;BCL2L11;SSTR3;REST;GSTP1;ISL1;MYOD1;SSTR2;UGT1A1;ZFP36;SSTR5;NR3C1;FAM107A;UBE2L3;HNRNPU;ZFP36L2;ANXA1;HEY1;
response to nicotine,GO:0035094,MT-ND4;SLC6A3;ABAT;EDN1;CHRNA2;CASP3;KCNK1;GNAT3;SLC7A11;MAPK1;CHRNA7;BCL2;PPP1R9B;NKX6-1;AVP;TH;VCAM1;CNR1;IL13;MT-ND6;PENK;STAR;ATP1A2;HDAC2;CHRNA4;DRD2;HMOX1;PDX1;CREB1;NTRK1;CHRNB3;CHRNB2;PPP1R1B;CHRNA5;
response to organonitrogen compound,GO:0010243,CYP2E1;PSMB2;MAX;MGST3;CCND1;AGTR2;MT-ND5;PTGS2;PPP1R9B;SST;TRPV1;BIRC2;FLT3;NCOR2;ATP4B;HSF1;GNAO1;CDK1;MT-CYB;NNMT;ABCC4;APEX1;MGST1;BTG2;MGST2;PTK2B;CDO1;FUNDC1;CDKN1A;SLC6A1;SIN3A;TP73;AACS;
response to hydrogen peroxide,GO:0042542,FYN;DUSP1;STK24;APTX;CASP3;FOSL1;PRKAA1;PPP2CB;BAK1;MT-ND5;HP;BCL2;UBE3A;RELA;FKBP1B;AREG;MB;STK25;HSPD1;CRYAB;CDK1;STK26;ADA;GNAO1;SDC1;CAT;SOD1;PDGFRB;TRPA1;MT-ND6;STAR;GPX1;COL1A1;PTK2B;BAD;PRDX3;HBA2;JUN;PARK7;KCNA5;HMOX1;EEF2;HBB;HBA1;ADAM9;CAPN2;SLC8A1;LDHA;SOD2;SIRT1;STAT1;TXNIP;GLRX2;CRK;PDCD10;SRC;PPP1R15B;
response to cocaine,GO:0042220,SLC6A3;ABAT;DRD5;EN1;GRM2;RGS4;PITX3;OPRM1;HSPA5;DNM2;DPYSL2;TIAM1;DNMT3A;OPRK1;CDK5;UBE3A;DNMT3B;MBD1;SNCA;ELAVL4;HSPD1;OXTR;FADD;OXT;CNR1;HTR3A;MT-ND6;EFTUD2;HDAC5;SMPD1;HDAC2;DRD2;HSP90AB1;PTK2B;CRH;DRD3;HTR1B;MDM2;MTOR;HNMT;SLC6A1;CACNG4;TACR3;CHRNB2;PPP1R1B;
mitochondrial electron transport_ ubiquinol to cytochrome c,GO:0006122,CYC1;UQCR10;UQCR11;CYCS;UQCRB;UQCRQ;UQCRC1;UQCC3;UQCRH;UQCRHL;UQCRFS1;UQCRC2;MT-CYB;
response to nutrient,GO:0007584,DAD1;NOD2;SFRP2;ARSB;HSF1;ADIPOR2;PEMT;C2;MTOR;HMGCL;STAT1;GNAI2;ASS1;SERPINC1;ALDH3A1;OXCT1;COX4I1;LIPG;ARSA;ACSL4;SST;VCAM1;CYBB;ERCC1;UGT1A1;NQO1;TGFBR2;ACSL3;LTA;APAF1;GCLM;ADSL;LEP;CCL28;SLC6A19;SLC6A4;ADIPOQ;GCLC;HMGCR;UCP3;PPARG;AKR1C3;STAR;FADS1;ALAD;GNPAT;SLC27A4;SLC8A1;LDHA;POR;AMELX;ABCA1;SLC34A1;TTPA;AGL;BCHE;CD3E;ABCG5;IGFBP2;SLC37A4;ABCG8;BCKDHB;ENSA;MT-CYB;OGT;AHCY;GIPR;CNR1;COL1A1;TNFRSF11B;TBXA2R;HAT1;EPO;PKLR;PTEN;ACSL1;GCGR;APOA1;AACS;
response to heat,GO:0009408,EIF2B2;DNAJA4;ABCC2;AKT1;TGFB1I1;NOS3;EIF2B4;EIF2B5;MICA;CRNN;P2RX3;MAP2K7;SST;TRPV1;CALCA;CPB2;IGF1;GCLC;HSF1;TRPM2;HSPD1;TRPV2;MT-CYB;TRPV3;EIF2B3;SOD1;PIRT;CXCL12;HSP90AA1;ASIC3;DNAJA3;MSTN;IGFBP7;HSPA2;TP53INP1;DNAJA2;PKLR;EIF2B1;CASQ1;DNAJA1;PSIP1;MICB;NOS1;CD14;DNAJB4;
response to toxic substance,GO:0009636,CCL5;SNN;TLR2;SCN9A;DNMT3A;GABRB1;DNMT3B;CLDN1;CCL4;CHKA;PON1;INMT;CES1;CCL3;ASS1;KCNC2;GJC2;DHRS2;SLC7A11;ARHGAP33;ADAMTS13;GUCY2C;BLMH;CPS1;BPHL;RAD51;PENK;GLYAT;NUPR1;SRF;BRIP1;NQO1;AIFM1;ASNS;CDKN1A;KCNC1;AQP10;SLC23A1;SLC6A14;WAPL;MPST;PRKCG;SCFD1;SLC6A4;CYP1A1;TRPM6;MGMT;PON2;BAX;KDM5C;EPHX1;ATF4;STAR;GPX1;DRD2;ALAD;MDM2;SRSF9;PON3;SDC1;MBP;MAOB;AHR;PDZD3;DHX15;TYMS;DDC;MAPK1;BCL2;CHUK;CDH1;CDK1;CYP1B1;MT-CYB;CAT;GSTP1;SLC7A8;PDGFRB;LYN;NEFL;SLC22A8;MAPK3;CNP;CCNB1;CDK4;ERCC6;WDR35;SLC30A4;SLC6A1;FOS;SLC18A2;EPHX2;
animal organ regeneration,GO:0031100,LCP1;UPF2;F7;CCND1;BAK1;PTPRU;AXL;TGFB1;APOA2;IGF2R;NR0B2;FLT3;PPAT;ANXA3;MED1;CDK1;MT-CYB;NNMT;GSTP1;CXCL12;PPARG;LPIN1;UGT1A1;ANGPT2;TGFBR3;NR4A3;CAD;FPGS;BAAT;ADM;CDK4;PFKFB1;ATIC;GAS6;CDKN1A;HGF;PDX1;WNT1;TGFBR2;APOA1;CCNA2;PGF;NOTCH1;C5AR1;
response to cobalamin,GO:0033590,CD40;EGFR;MT-CYB;RELA;
response to glucagon,GO:0033762,PFKFB1;CYC1;ABCC2;SREBF1;CRY1;CREB1;CCNA2;CDO1;QDPR;CPS1;MT-CYB;
hyperosmotic salinity response,GO:0042538,OXT;CLDN1;TRPV4;TACR3;AVP;MT-CYB;
response to cadmium ion,GO:0046686,SLC34A1;MTF1;DTYMK;PCNA;PRNP;B2M;ARG1;GPI;GCLC;CDKN1B;GOT1;NUDT1;CDK1;MT-CYB;SPARC;NPC1;CAT;HAAO;PTH;ERCC1;MAPK9;ALAD;CYB5A;KIT;TERT;SOD2;SORD;GSS;
response to mercury ion,GO:0046689,ALAD;AQP9;SLC34A1;BSG;PGAM2;TAT;MT-CYB;
response to calcium ion,GO:0051592,AMELX;CALM2;TTN;TNNT2;DUSP1;SLC25A12;GDI1;THBS1;KCNMB1;CCND1;TRPV6;AANAT;CASR;TRPC3;EGFR;CACNG2;SYT1;FGA;MNAT1;CALM1;NEDD4;SLC25A13;MT-CYB;SPARC;CAPN3;PCDH15;GIPR;FGG;TSHB;S100A16;AQP3;ALG2;PENK;APOBEC1;MTTP;TPH2;AHCYL1;PTK2B;BAD;CAV1;CALM3;PDCD6;TRPC1;PPP3CA;HOMER1;FGB;PEF1;SLC6A1;HNRNPD;SUCNR1;ANXA7;ADAM9;SDC1;ENTPD6;RANBP1;ITPR3;KCNMA1;PTGES;TXNIP;ANXA11;SEC31A;
response to ionizing radiation,GO:0010212,INTS3;MRNIP;BRCC3;PRKDC;CYP2R1;USP28;TOPBP1;DNMT3A;EYA3;ATM;COP1;LZIC;DNMT3B;ABCG5;INIP;NABP2;EYA1;MTA1;RAD54B;UIMC1;RNF8;BRAT1;KRT14;BABAM1;RFWD3;BAX;LIG4;RRM1;NHEJ1;VCAM1;RNF168;PAXIP1;ABRAXAS1;H2AX;STAR;SMPD1;ICAM1;NABP1;BABAM2;RAD54L;STK11;DCLRE1C;TICRR;ALAD;KAT5;BRCA1;AEN;CLK2;
snRNA transcription by RNA polymerase II,GO:0042795,RPAP2;INTS3;ELL2;POLR2I;RPRD1B;ZNF143;SNAPC1;RPRD1A;ELL3;POLR2D;ELL;TBP;GTF2F2;PHAX;INTS5;POLR2J;ZC3H8;SP1;INTS11;CDK9;TAF8;POLR2B;SNAPC4;INTS9;NABP2;TAF11;TAF9;INTS1;CCNK;POLR2L;INTS4;GTF2A1;INTS13;INTS14;CCNT1;NCBP2;POLR2H;NCBP1;INTS12;SNAPC5;INTS7;INTS2;TAF13;TAF5;GTF2A2;GTF2E1;POU2F2;CDK7;GTF2F1;ICE2;NABP1;INTS6;POU2F1;POLR2F;TAF6;CCNT2;GTF2B;POLR2G;SNAPC2;INTS8;SNAPC3;SRRT;RPRD2;POLR2C;GTF2E2;POLR2K;POLR2E;ICE1;INTS10;
mitotic G2/M transition checkpoint,GO:0044818,INTS3;CHEK1;BRCA1;PABIR1;NABP2;CDK5RAP3;NABP1;
snRNA processing,GO:0016180,INTS4;INTS3;INTS2;INTS5;INTS12;INTS7;TUT1;INTS11;INTS8;INTS9;INTS1;INTS6;INTS10;
negative regulation of natural killer cell mediated cytotoxicity,GO:0045953,LILRB1;KIR2DL4;HLA-G;KLRD1;KLRC1;LGALS9;HLA-F;HLA-E;CLEC12B;CRK;ARRB2;MICA;
cellular defense response,GO:0006968,KLRG1;NCF1;KLRC2;CXCR2;TCIRG1;GNLY;NCR2;MNDA;CD300C;CCR9;FOSL1;CX3CR1;LILRB2;PRF1;LSP1;CCR5;KIR3DL2;ZNF148;ITGB1;ADORA2B;LGALS3BP;CXCL9;RELA;CD5L;FCMR;CCR2;LBP;DCDC2;RAB23;CCR6;LY96;NCF2;KLRC3;BCL10;SPN;NCR1;ITK;CLEC5A;PTK2B;TRAT1;KIR2DS3;ADORA2A;UMOD;KIR2DL4;HLA-G;CCR3;IL1RL2;SH2D1A;VEZF1;BECN1;TYROBP;C5AR1;
positive regulation of natural killer cell cytokine production,GO:0002729,RAET1G;KIR2DL4;HLA-G;CD160;HLA-F;HLA-E;CD226;CLNK;
positive regulation of cellular senescence,GO:2000774,ARG2;CDKN2A;KRAS;KIR2DL4;HLA-G;PAWR;ABI3;B2M;HMGA1;CGAS;YPEL3;SIRT1;EEF1E1;HMGA2;
protein methylation,GO:0006479,BTG1;PRMT3;GSPT1;VCPKMT;CSKMT;EEF2KMT;PRMT1;PCMTD1;CAMKMT;EEF1AKMT2;EEF1AKMT1;METTL22;PRMT2;METTL21A;SETD7;SNRPD3;BTG2;PRMT7;ETFBKMT;BHMT;PRMT5;ETF1;FAM98A;METTL21C;LCMT1;SNRPB;HEMK1;FAM98B;PCMT1;PRMT8;ARMT1;PCMTD2;
positive regulation of neutrophil apoptotic process,GO:0033031,HCAR2;ANXA1;PIK3CB;PIK3CD;FCAR;
cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097011,CSF2;AKT1;PDE1B;CD4;NPR2;ZFP36L2;ZFP36;ETV3;PDE2A;FCAR;MAPK1;
cellular response to interferon-alpha,GO:0035457,PYHIN1;GATA3;GAS6;RO60;PDE12;TPR;IFIT2;STAR;OAS1;IFNAR1;IFIT3;FCAR;AXL;
neutrophil mediated immunity,GO:0002446,JAGN1;ADAM17;KMT2E;ACE;WDR1;IRAK4;PLA2G1B;IL6R;IL6;FCAR;
Fc receptor signaling pathway,GO:0038093,CD200R1;PIGR;FCGR1B;KIT;FCAR;
neutrophil activation,GO:0042119,CCL5;CXCL8;IL15;CXCR2;PRG3;KMT2E;CXCL6;F2RL1;IL18;PRKCD;PREX1;TRAF3IP2;FCAR;IL18RAP;
cellular response to interferon-gamma,GO:0071346,CCL5;ACTR2;CCL25;TLR2;ACTG1;EPRS1;GBP5;MYC;RAB7B;AQP4;VAMP3;CCL7;CCL3L3;FASLG;STXBP1;CLDN1;LGALS9;CCL4;WNT5A;ICAM1;VIM;CCL24;CCL2;STXBP3;STAT1;CCL3;ASS1;GBP7;CCL21;GBP2;MRC1;ACTR3;PDE12;ADAMTS13;RAB20;WAS;DAPK1;GBP1;CDC42;MYO1C;CCL16;FCAR;CDC42EP2;CCL23;KIF5B;CIITA;CCL11;CDC42EP4;ZYX;CCL1;STXBP4;CCL8;GBP3;SIRPA;CASP1;GBP4;CCL26;XCL1;AIF1;CCL17;TLR3;HLA-DQB1;SLC26A6;HLA-DPA1;VPS26B;TDGF1;STAR;CCL19;GSN;GBP6;STX8;CCL18;EDN1;CCL20;XCL2;SYNCRIP;CCL3L1;CCL15;RAB43;CD58;ACOD1;STX4;IL12RB1;TLR4;CX3CL1;FLNB;CCL13;CCL14;IRF8;GAPDH;CD47;RPL13A;NOS2;CCL22;CCL4L2;DAPK3;IL12B;
cellular response to interleukin-6,GO:0071354,SBNO2;PTPRT;PPARGC1A;HAMP;ST3GAL6;FGG;ABCC2;FGF23;NFKB1;PHB;SELPLG;TDGF1;CAMP;RELA;ICAM1;PTGIS;PID1;FCAR;
opioid receptor signaling pathway,GO:0038003,OPRK1;OGFR;ADCY8;NPBWR1;NPBWR2;SIGMAR1;OPRM1;OPRD1;OPRL1;OGFRL1;
ATP-dependent chromatin remodeling,GO:0043044,;HDAC1;CHD4;CHD3;SMARCD2;SMARCB1;SMARCAD1;CHD8;SRCAP;SMARCC1;PBRM1;SMARCE1;MBD2;ACTL6A;ARID1B;GATAD2B;ACTR5;CECR2;ACTB;INO80;ACTL6B;ACTR8;HNRNPC;INO80B;HDAC2;SMARCA1;SMARCA5;SMARCA2;ERCC6;MTA2;RBBP4;ARID1A;SMARCC2;MBD3;SMARCA4;
intermediate filament organization,GO:0045109,KRT2;KRT20;BFSP1;GFAP;KLHL24;KRT17;SHH;NEFL;VIM;DSP;DNAJB6;MTM1;EPPK1;KRT25;KRT71;TCHH;BFSP2;KRT9;DES;
natural killer cell mediated cytotoxicity,GO:0042267,PTPN6;GZMB;KIR3DL1;RAET1E;CEBPG;TUBB;ULBP1;MICA;IL18;LYST;ULBP3;ULBP2;CLEC2A;PLEKHM2;RAET1G;TUBB4B;ARL8B;KIF5B;KLRK1;RNF19B;SLAMF7;PRDX1;
long-chain fatty acid metabolic process,GO:0001676,SLC27A5;ACSL5;ACOT2;ACSL6;CPT1A;CYP4A11;ACSL4;SLC27A2;ACSBG1;SLC27A3;ACSM1;ACOT1;ACAD9;CYP4F2;SLC27A6;ACOT4;PNPLA3;SLC27A1;CPT2;ACSL1;PAM;SLC27A4;ACSL3;CYP4F12;
fatty acid transport,GO:0015908,PPARD;ACSL4;ACSL1;SLC27A5;SLC27A4;PLA2G4F;SLC27A6;SLC25A17;GOT2;CROT;MFSD2A;SLC27A2;HNF1A;SLC27A1;SLC27A3;
long-chain fatty acid transport,GO:0015909,CPT1B;FABP5;APOE;FABP1;PPARG;SLC27A4;CD36;SLC27A1;FABP3;LCN12;LCN1;SLC27A6;PLIN2;MFSD2A;FABP4;SLC27A3;
microtubule-based movement,GO:0007018,KIF6;DNAI4;KIF20B;KIF2A;KIFC2;DYNC2H1;KIF1A;DYNC1I1;KIF3C;DYNC2I1;DNAH7;KIF3A;KIF11;DNHD1;DYNLRB1;KIF23;KIF4B;KIFC1;KIF25;KIF5A;KIF2C;KIF5C;KIF9;KIF26B;KIFC3;DNAH5;KIF22;KIF18B;KIFAP3;KIF12;KIF24;KIF5B;KIF19;DNAH10;RACGAP1;DNAI2;KIF7;DYNC1H1;KIF21A;DNAH12;KIF13A;KIF16B;CENPE;DYNLRB2;DNAH9;KIF21B;DNAH2;KIF1B;KIF3B;KIF27;DNAH6;DNAH14;STARD9;DNAH11;DNAI3;KLC1;DNAI1;DNAH17;DYNC1LI1;KIF26A;KIF13B;KIF17;DYNC1LI2;BICD2;KLC2;DNAH3;DNAH8;KIF1C;KIF15;KIF14;KTN1;DYNC2I2;KIF2B;DNAH1;ACTR10;KIF18A;DNAL4;DYNC1I2;KIF4A;KIF20A;
negative regulation of neuron death,GO:1901215,PRKN;SERPINF1;CD200;EN1;SORL1;GPNMB;AKT1;CBL;AP2B1;GHR;CHMP4A;INPP5A;REL;HTRA2;CHMP4B;CSF3;UCN;GBA;LRRK2;GABRB2;SLC23A2;KIR3DL2;IKBKG;CDK5;MDK;PINK1;SULT1A3;TMEM259;SNCA;FGF21;HSF1;PM20D1;CSF1;NTRK1;NMNAT1;PPARA;EIF4G1;FBXO7;PPARGC1A;TRAF2;CD200R1;BTBD10;IL13;STAT3;ATP13A2;CTNNB1;VPS35;NENF;EPO;MT3;WNT3A;PARK7;CHGA;PSMC1;TIGAR;HLA-F;CREB1;CD34;GSK3B;SIRT1;PARP2;TNFRSF1B;PPP5C;
natural killer cell inhibitory signaling pathway,GO:0002769,CLEC12B;KLRC1;KIR2DL1;
morphogenesis of an epithelium,GO:0002009,HOXB13;GLI2;DAG1;CA9;SLC9A3R1;FRAS1;KRT16;KRT17;PCDH15;TIMELESS;KRT12;WNT5A;VCL;SOX10;CRYGS;SERPINB5;SOX9;SOX8;HOXA5;RIPK4;TBX5;TBX4;KRT6A;FREM2;
cornea development in camera-type eye,GO:0061303,WNT6;PAX6;WNT9A;KRT12;LIMK2;WNT9B;SOX11;WNT2B;FOXE3;KERA;
natural killer cell activation,GO:0030101,;IL21R;KIR3DS1;IFNB1;PIK3CD;ULBP1;NCR3;IL2;IL18;ITGB2;PRDX1;ULBP3;RASGRP1;ULBP2;NCR1;BAG6;CD2;IL18R1;KIR2DS2;KLRK1;CASP8;SLAMF7;IFNK;IL12B;
