"Disease_ID","Disease_name","Gene_symbol","Phenotypic_series_ID","Phenotypic_series_name","Tissue","Clinical_manifestation","Pathogenesis"
"613762","46XY sex reversal 6","MAP3K1","PS400044","46,XY sex reversal","Testis","Yes","NA"
"613800","Meier-Gorlin syndrome 2","ORC4","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"145410","Opitz GBBB syndrome, type II","SPECC1L","PS300000","Opitz GBBB syndrome","Testis","Yes","NA"
"613193","Ciliary dyskinesia, primary, 13","DNAAF1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"614017","Ciliary dyskinesia, primary, 16","DNAL1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"115150","Cardiofaciocutaneous syndrome","BRAF","PS115150","Cardiofaciocutaneous syndrome","Testis","Yes","NA"
"309120","Spermatogenic failure, X-linked, 2","TEX11","PS258150","Spermatogenic failure","Testis","Yes","NA"
"248800","Marinesco-Sjogren syndrome","SIL1","","","Testis","Yes","NA"
"146110","Hypogonadotropic hypogonadism 7 without anosmia","GNRHR","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"127700","{Dyslexia, susceptibility to, 1}","DNAAF4","","","Testis","Yes","NA"
"614935","Ciliary dyskinesia, primary, 19","DNAAF11","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"617187","Spermatogenic failure 16","SUN5","PS258150","Spermatogenic failure","Testis","Yes","NA"
"614976","Carpenter syndrome 2","MEGF8","PS201000","Carpenter syndrome","Testis","Yes","NA"
"613224","Noonan syndrome 6","NRAS","PS163950","Noonan syndrome","Testis","Yes","NA"
"613808","Ciliary dyskinesia, primary, 15","CCDC40","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"244400","Ciliary dyskinesia, primary, 1, with or without situs inversus","DNAI1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"612518","Ciliary dyskinesia, primary, 10","DNAAF2","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616894","Robinow syndrome, autosomal dominant 3","DVL3","PS268310","Robinow syndrome","Testis","Yes","NA"
"612702","Hypogonadotropic hypogonadism 6 with or without anosmia","FGF8","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"300985","Congenital bilateral absence of vas deferens, X-linked","ADGRG2","PS277180","Vas deferens, congenital bilateral aplasia of","Testis","Yes","NA"
"608647","Ciliary dyskinesia, primary, 5","HYDIN","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"256520","Neu-Laxova syndrome 1","PHGDH","PS256520","Neu-Laxova syndrome","Testis","Yes","NA"
"277180","Congenital bilateral absence of vas deferens","CFTR","PS277180","Vas deferens, congenital bilateral aplasia of","Testis","Yes","NA"
"615482","Ciliary dyskinesia, primary, 25","DNAAF4","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616067","46XY sex reversal 9","ZFPM2","PS400044","46,XY sex reversal","Testis","Yes","NA"
"615481","Ciliary dyskinesia, primary, 24","RSPH1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"614679","Ciliary dyskinesia, primary, 17","CCDC103","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"300018","46XY sex reversal 2, dosage-sensitive","NR0B1","PS400044","46,XY sex reversal","Testis","Yes","NA"
"611884","Ciliary dyskinesia, primary, 7, with or without situs inversus","DNAH11","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"124000","Mitochondrial complex III deficiency, nuclear type 1","BCS1L","PS124000","Mitochondrial complex III deficiency, nuclear type","Testis","Yes","NA"
"615916","Cardiomyopathy, dilated, 1NN","RAF1","PS115200","Dilated cardiomyopathy","Testis","Yes","NA"
"188470","Thyroid carcinoma, follicular, somatic","NRAS","PS188550","Thyroid cancer, nonmedullary","Testis","Yes","NA"
"188470","{Thyroid carcinoma, follicular}","MINPP1","PS188550","Thyroid cancer, nonmedullary","Testis","Yes","NA"
"188470","Thyroid carcinoma, follicular, somatic","HRAS","PS188550","Thyroid cancer, nonmedullary","Testis","Yes","NA"
"188470","{Thyroid cancer, nonmedullary, 2}","SRGAP1","PS188550","Thyroid cancer, nonmedullary","Testis","Yes","NA"
"609942","Noonan syndrome 3","KRAS","PS163950","Noonan syndrome","Testis","Yes","NA"
"262000","Bjornstad syndrome","BCS1L","","","Testis","Yes","NA"
"610628","Hypogonadotropic hypogonadism 4 with or without anosmia","PROK2","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"400044","46XY sex reversal 1","SRY","PS400044","46,XY sex reversal","Testis","Yes","NA"
"300991","Ciliary dyskinesia, primary, 36, X-linked","DNAAF6","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"612650","Ciliary dyskinesia, primary, 12","RSPH9","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"147950","Hypogonadotropic hypogonadism 2 with or without anosmia","FGFR1","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"614838","Hypogonadotropic hypogonadism 9 with or without anosmia","NSMF","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"614839","Hypogonadotropic hypogonadism 10 with or without anosmia","TAC3","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"615413","Spermatogenic failure 12","NANOS1","PS258150","Spermatogenic failure","Testis","Yes","NA"
"236700","McKusick-Kaufman syndrome","MKKS","","","Testis","Yes","NA"
"614837","Hypogonadotropic hypogonadism 8 with or without anosmia","KISS1R","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"603358","GRACILE syndrome","BCS1L","","","Testis","Yes","NA"
"300000","Opitz GBBB syndrome, type I","MID1","PS300000","Opitz GBBB syndrome","Testis","Yes","NA"
"615294","Ciliary dyskinesia, primary, 21","DRC1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616726","Ciliary dyskinesia, primary, 33","GAS8","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"614858","Hypogonadotropic hypogonadism 14 with or without anosmia","WDR11","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"612965","46XY sex reversal 3","NR5A1","PS400044","46,XY sex reversal","Testis","Yes","NA"
"616331","Robinow syndrome, autosomal dominant 2","DVL1","PS268310","Robinow syndrome","Testis","Yes","NA"
"616038","Neu-Laxova syndrome 2","PSAT1","PS256520","Neu-Laxova syndrome","Testis","Yes","NA"
"616030","Hypogonadotropic hypogonadism 22, with or without anosmia","FEZF1","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"182170","Anemia, sideroblastic, 4","HSPA9","PS300751","Anemia, Sideroblastic","Testis","Yes","NA"
"616037","Ciliary dyskinesia, primary, 30","ODAD3","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"180700","Robinow syndrome, autosomal dominant 1","WNT5A","PS268310","Robinow syndrome","Testis","Yes","NA"
"615355","Noonan syndrome 8","RIT1","PS163950","Noonan syndrome","Testis","Yes","NA"
"114290","Acampomelic campomelic dysplasia","SOX9","","","Testis","Yes","NA"
"114290","Campomelic dysplasia","SOX9","","","Testis","Yes","NA"
"114290","Campomelic dysplasia with autosomal sex reversal","SOX9","","","Testis","Yes","NA"
"612649","Ciliary dyskinesia, primary, 11","RSPH4A","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"234050","Trichothiodystrophy 4, nonphotosensitive","MPLKIP","PS601675","Trichothiodystrophy","Testis","Yes","NA"
"268310","Robinow syndrome, autosomal recessive","ROR2","PS268310","Robinow syndrome","Testis","Yes","NA"
"614822","Spermatogenic failure 10","SEPTIN12","PS258150","Spermatogenic failure","Testis","Yes","NA"
"235200","Hemochromatosis","HFE","PS235200","Hemochromatosis","Testis","Yes","NA"
"235200","{HFE hemochromatosis, modifier of}","BMP2","PS235200","Hemochromatosis","Testis","Yes","NA"
"211400","{Bronchiectasis with or without elevated sweat chloride 1, modifier of}","CFTR","PS211400","Bronchiectasis","Testis","Yes","NA"
"211400","Bronchiectasis with or without elevated sweat chloride 1","SCNN1B","PS211400","Bronchiectasis","Testis","Yes","NA"
"224690","Meier-Gorlin syndrome 1","ORC1","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"233420","46XY sex reversal 7","DHH","PS400044","46,XY sex reversal","Testis","Yes","NA"
"615081","Spermatogenic failure 11","KLHL10","PS258150","Spermatogenic failure","Testis","Yes","NA"
"614840","Hypogonadotropic hypogonadism 11 with or without anosmia","TACR3","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"616943","Trichothiodystrophy 6, nonphotosensitive","GTF2E2","PS601675","Trichothiodystrophy","Testis","Yes","NA"
"613313","Hemochromatosis, type 2B","HAMP","PS235200","Hemochromatosis","Testis","Yes","NA"
"615872","Ciliary dyskinesia, primary, 29","CCNO","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"615269","Hypogonadotropic hypogonadism 19 with or without anosmia","DUSP6","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"601675","Trichothiodystrophy 1, photosensitive","ERCC2","PS601675","Trichothiodystrophy","Testis","Yes","NA"
"615266","Hypogonadotropic hypogonadism 17 with or without anosmia","SPRY4","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"615267","Hypogonadotropic hypogonadism 18 with or without anosmia","IL17RD","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"615989","Bardet-Biedl syndrome 12","BBS12","PS209900","Bardet-Biedl syndrome","Testis","Yes","NA"
"229070","Hypogonadotropic hypogonadism 24 without anosmia","FSHB","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"615987","Bardet-Biedl syndrome 10","BBS10","PS209900","Bardet-Biedl syndrome","Testis","Yes","NA"
"151100","LEOPARD syndrome 1","PTPN11","PS151100","LEOPARD syndrome","Testis","Yes","NA"
"244200","Hypogonadotropic hypogonadism 3 with or without anosmia","PROKR2","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"614279","46XY sex reversal 8","AKR1C2","PS400044","46,XY sex reversal","Testis","Yes","NA"
"614279","{46XY sex reversal 8, modifier of}","AKR1C4","PS400044","46,XY sex reversal","Testis","Yes","NA"
"614874","Ciliary dyskinesia, primary, 18","DNAAF5","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"617092","Ciliary dyskinesia, primary, 35","ODAD4","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"617091","Ciliary dyskinesia, primary, 34","DNAJB13","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616395","Trichothiodystrophy 3, photosensitive","GTF2H5","PS601675","Trichothiodystrophy","Testis","Yes","NA"
"616390","Trichothiodystrophy 2, photosensitive","ERCC3","PS601675","Trichothiodystrophy","Testis","Yes","NA"
"163950","Noonan syndrome 1","PTPN11","PS163950","Noonan syndrome","Testis","Yes","NA"
"615278","Cardiofaciocutaneous syndrome 2","KRAS","PS115150","Cardiofaciocutaneous syndrome","Testis","Yes","NA"
"201000","Carpenter syndrome","RAB23","PS201000","Carpenter syndrome","Testis","Yes","NA"
"615271","Hypogonadotropic hypogonadism 21 with anosmia","FLRT3","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"615270","Hypogonadotropic hypogonadism 20 with or without anosmia","FGF17","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"616854","Even-plus syndrome","HSPA9","","","Testis","Yes","NA"
"612444","Ciliary dyskinesia, primary, 9, with or without situs inversus","DNAI2","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"600118","Warburg micro syndrome 1","RAB3GAP1","PS600118","Warburg micro syndrome","Testis","Yes","NA"
"602390","Hemochromatosis, type 2A","HJV","PS235200","Hemochromatosis","Testis","Yes","NA"
"615444","Ciliary dyskinesia, primary, 22","ZMYND10","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616559","Noonan syndrome 9","SOS2","PS163950","Noonan syndrome","Testis","Yes","NA"
"617576","Spermatogenic failure 18","DNAH1","PS258150","Spermatogenic failure","Testis","Yes","NA"
"614222","Warburg micro syndrome 3","RAB18","PS600118","Warburg micro syndrome","Testis","Yes","NA"
"614225","Warburg micro syndrome 2","RAB3GAP2","PS600118","Warburg micro syndrome","Testis","Yes","NA"
"617063","Meier-Gorlin syndrome 7","CDC45","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"228300","Hypogonadotropic hypogonadism 23 with or without anosmia","LHB","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"612997","Spermatogenic failure 7","CATSPER1","PS258150","Spermatogenic failure","Testis","Yes","NA"
"611553","Noonan syndrome 5","RAF1","PS163950","Noonan syndrome","Testis","Yes","NA"
"611554","LEOPARD syndrome 2","RAF1","PS151100","LEOPARD syndrome","Testis","Yes","NA"
"308700","Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)","ANOS1","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"610198","3-methylglutaconic aciduria, type V","DNAJC19","PS250950","3-Methylglutaconic aciduria","Testis","Yes","NA"
"415000","Spermatogenic failure, Y-linked, 2","USP9Y","PS258150","Spermatogenic failure","Testis","Yes","NA"
"605231","Bardet-Biedl syndrome 6","MKKS","PS209900","Bardet-Biedl syndrome","Testis","Yes","NA"
"613803","Meier-Gorlin syndrome 3","ORC6","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"613804","Meier-Gorlin syndrome 4","CDT1","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"613807","Ciliary dyskinesia, primary, 14","CCDC39","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"615451","Ciliary dyskinesia, primary, 23","ODAD2","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"612370","Hypogonadotropic hypogonadism 5 with or without anosmia","CHD7","PS147950","Hypogonadotropic hypogonadism with or without anosmia","Testis","Yes","NA"
"616564","Noonan syndrome 10","LZTR1","PS163950","Noonan syndrome","Testis","Yes","NA"
"606069","Hemochromatosis, type 4","SLC40A1","PS235200","Hemochromatosis","Testis","Yes","NA"
"616835","Meier-Gorlin syndrome 6","GMNN","PS224690","Meier-Gorlin syndrome","Testis","Yes","NA"
"610852","Ciliary dyskinesia, primary, 6","NME8","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"610733","Noonan syndrome 4","SOS1","PS163950","Noonan syndrome","Testis","Yes","NA"
"243060","Spermatogenic failure 5","AURKC","PS258150","Spermatogenic failure","Testis","Yes","NA"
"616481","Ciliary dyskinesia, primary, 32","RSPH3","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"615067","Ciliary dyskinesia, primary, 20","ODAD1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"613957","Spermatogenic failure 8","NR5A1","PS258150","Spermatogenic failure","Testis","Yes","NA"
"615663","Warburg micro syndrome 4","TBC1D20","PS600118","Warburg micro syndrome","Testis","Yes","NA"
"270960","Spermatogenic failure 4","SYCP3","PS258150","Spermatogenic failure","Testis","Yes","NA"
"270960","Pregnancy loss, recurrent, 4","SYCP3","PS258150","Spermatogenic failure","Testis","Yes","NA"
"615505","Ciliary dyskinesia, primary, 28","SPAG1","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"615504","Ciliary dyskinesia, primary, 27","CCDC65","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"613958","Spermatogenic failure 9","DPY19L2","PS258150","Spermatogenic failure","Testis","Yes","NA"
"615500","Ciliary dyskinesia, primary, 26","CFAP298","PS244400","Primary ciliary dyskinesia","Testis","Yes","NA"
"616279","?Cataract 43","UNC45B","PS116200","Cataract","Eye","Yes","NA"
"608810","Myopathy, myofibrillar, 2","CRYAB","PS601419","Myopathy, myofibrillar","Eye","Yes","NA"
"604393","Leber congenital amaurosis 4","AIPL1","PS204000","Leber congenital amaurosis","Eye","Yes","NA"
"604393","Retinitis pigmentosa, juvenile","AIPL1","PS204000","Leber congenital amaurosis","Eye","Yes","NA"
"604393","Cone-rod dystrophy","AIPL1","PS204000","Leber congenital amaurosis","Eye","Yes","NA"
"616271","3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia","CLPB","PS250950","3-Methylglutaconic aciduria","Eye","Yes","NA"
"615184","Cardiomyopathy, dilated, 1II","CRYAB","PS115200","Dilated cardiomyopathy","Eye","Yes","NA"
"613763","Cataract 16, multiple types","CRYAB","PS116200","Cataract","Eye","Yes","NA"
"605231","Bardet-Biedl syndrome 6","MKKS","PS209900","Bardet-Biedl syndrome","Eye","Yes","NA"
"615989","Bardet-Biedl syndrome 12","BBS12","PS209900","Bardet-Biedl syndrome","Eye","Yes","NA"
"613869","Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related","CRYAB","PS601419","Myopathy, myofibrillar","Eye","Yes","NA"
"604219","Cataract 9, multiple types","CRYAA","PS116200","Cataract","Eye","Yes","NA"
"236700","McKusick-Kaufman syndrome","MKKS","","","Eye","Yes","NA"
"615987","Bardet-Biedl syndrome 10","BBS10","PS209900","Bardet-Biedl syndrome","Eye","Yes","NA"
"610198","3-methylglutaconic aciduria, type V","DNAJC19","PS250950","3-Methylglutaconic aciduria","Eye","Yes","NA"
"145410","Opitz GBBB syndrome, type II","SPECC1L","PS300000","Opitz GBBB syndrome","Digestive system-Esophagus-Gastroesophageal junction","Yes","NA"
"614326","Feingold syndrome 2","FGLDS2","PS164280","Feingold syndrome","Digestive system-Esophagus-Gastroesophageal junction","Yes","NA"
"164280","Feingold syndrome 1","MYCN","PS164280","Feingold syndrome","Digestive system-Esophagus-Gastroesophageal junction","Yes","NA"
"300000","Opitz GBBB syndrome, type I","MID1","PS300000","Opitz GBBB syndrome","Digestive system-Esophagus-Gastroesophageal junction","Yes","NA"
"212720","Martsolf syndrome","RAB3GAP2","","","Respiratory system-Trachea","Yes","NA"
"616835","Meier-Gorlin syndrome 6","GMNN","PS224690","Meier-Gorlin syndrome","Respiratory system-Trachea","Yes","NA"
"150250","Larsen syndrome","FLNB","","","Respiratory system-Trachea","Yes","NA"
"271665","Spondylometaepiphyseal dysplasia, short limb-hand type","DDR2","","","Respiratory system-Trachea","Yes","NA"
"117650","Cerebrocostomandibular syndrome","SNRPB","","","Respiratory system-Trachea","Yes","NA"
"618547","Neurodevelopmental disorder with visual defects and brain anomalies","HK1","","","Respiratory system-Trachea","Yes","NA"
"618797","Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation","RALGAPA1","","","Respiratory system-Trachea","NA","NA"
"613177","Cutis laxa, autosomal recessive, type IC","LTBP4","PS123700","Cutis laxa","Respiratory system-Trachea","Yes","NA"
"101600","Pfeiffer syndrome","FGFR1","","","Respiratory system-Trachea","Yes","Yes"
"101600","Craniofacial-skeletal-dermatologic dysplasia","FGFR2","","","Respiratory system-Trachea","Yes","Yes"
"101600","Pfeiffer syndrome","FGFR2","","","Respiratory system-Trachea","Yes","Yes"
"612561","Diamond-Blackfan anemia 6","RPL5","PS105650","Diamond-Blackfan anemia","Respiratory system-Trachea","No","No"
"156550","Kniest dysplasia","COL2A1","PS184255","Spondylometaphyseal dysplasia","Respiratory system-Trachea","Yes","NA"
"615490","Charcot-Marie-Tooth disease, type 2R","TRIM2","PS118220","Charcot-Marie-Tooth disease","Respiratory system-Trachea","Yes","No"
"613800","Meier-Gorlin syndrome 2","ORC4","PS224690","Meier-Gorlin syndrome","Respiratory system-Trachea","Yes","NA"
"145410","Opitz GBBB syndrome, type II","SPECC1L","PS300000","Opitz GBBB syndrome","Respiratory system-Trachea","Yes","NA"
"613803","Meier-Gorlin syndrome 3","ORC6","PS224690","Meier-Gorlin syndrome","Respiratory system-Trachea","Yes","NA"
"139210","Myhre syndrome","SMAD4","","","Respiratory system-Trachea","Yes","NA"
"610253","Kleefstra syndrome 1","EHMT1","PS156200","Mental retardation, autosomal dominant","Respiratory system-Trachea","NA","NA"
"610253","Kleefstra syndrome 1","EHMT1","PS610253","Kleefstra syndrome","Respiratory system-Trachea","NA","NA"
"608022","Diaphanospondylodysostosis","BMPER","","","Respiratory system-Trachea","Yes","NA"
"618454","Developmental delay with or without dysmorphic facies and autism","TRRAP","","","Respiratory system-Trachea","Yes","NA"
"215140","Greenberg skeletal dysplasia","LBR","","","Respiratory system-Trachea","Yes","NA"
"302960","Chondrodysplasia punctata, X-linked dominant","EBP","","","Respiratory system-Trachea","Yes","NA"
"617180","Chitayat syndrome","ERF","","","Respiratory system-Trachea","Yes","NA"
"619083","Delpire-McNeill syndrome","SLC12A2","","","Respiratory system-Trachea","Yes","NA"
"617660","Vertebral, cardiac, renal, and limb defects syndrome 1","HAAO","PS617660","Vertebral, cardiac, renal, and limb defects syndrome","Respiratory system-Trachea","Yes","NA"
"309900","Mucopolysaccharidosis II","IDS","PS607014","Mucopolysaccharidoses","Respiratory system-Trachea","Yes","NA"
"601390","Van Maldergem syndrome 1","DCHS1","PS601390","Van Maldergem syndrome","Respiratory system-Trachea","Yes","NA"
"615546","Van Maldergem syndrome 2","FAT4","PS601390","Van Maldergem syndrome","Respiratory system-Trachea","Yes","NA"
"114290","Acampomelic campomelic dysplasia","SOX9","","","Respiratory system-Trachea","Yes","NA"
"114290","Campomelic dysplasia","SOX9","","","Respiratory system-Trachea","Yes","NA"
"114290","Campomelic dysplasia with autosomal sex reversal","SOX9","","","Respiratory system-Trachea","Yes","NA"
"101200","Apert syndrome","FGFR2","","","Respiratory system-Trachea","Yes","NA"
"617809","Geleophysic dysplasia 3","LTBP3","PS231050","Geleophysic dysplasia","Respiratory system-Trachea","Yes","NA"
"202650","Agnathia-otocephaly complex","PRRX1","","","Respiratory system-Trachea","Yes","NA"
"214800","?CHARGE syndrome","SEMA3E","","","Respiratory system-Trachea","Yes","NA"
"214800","CHARGE syndrome","CHD7","","","Respiratory system-Trachea","Yes","NA"
"616368","CHOPS syndrome","AFF4","","","Respiratory system-Trachea","Yes","NA"
"606071","Hereditary motor and sensory neuropathy, type IIc","TRPV4","PS118220","Charcot-Marie-Tooth disease","Peripheral nerve","Yes","NA"
"607684","Charcot-Marie-Tooth disease, type 2E","NEFL","PS118220","Charcot-Marie-Tooth disease","Peripheral nerve","Yes","NA"
"616668","Charcot-Marie-Tooth disease, axonal, type 2X","SPG11","PS118220","Charcot-Marie-Tooth disease","Peripheral nerve","Yes","NA"
"260600","Leukodystrophy, hypomyelinating, 3","AIMP1","PS312080","Leukodystrophy, hypomyelinating","Peripheral nerve","Yes","NA"
"614881","Spinal muscular atrophy, distal, autosomal recessive, 5","DNAJB2","","","Peripheral nerve","Yes","NA"
"613708","Neuropathy, hereditary sensory, type ID","ATL1","PS162400","Hereditary sensory and autonomic neuropathy","Peripheral nerve","Yes","NA"
"601382","Charcot-Marie-Tooth disease, type 4B1","MTMR2","PS118220","Charcot-Marie-Tooth disease","Peripheral nerve","Yes","NA"
"613115","Neuropathy, hereditary sensory and autonomic, type IIB","RETREG1","PS162400","Hereditary sensory and autonomic neuropathy","Peripheral nerve","Yes","NA"
"118200","Charcot-Marie-Tooth disease, type 1B","MPZ","PS118220","Charcot-Marie-Tooth disease","Peripheral nerve","Yes","NA"
"614563","Mental retardation, autosomal dominant 13","DYNC1H1","PS156200","Mental retardation, autosomal dominant","Peripheral nerve","Yes","NA"
